regime,adequacy_term,geometry_term,formula_risk,direct_quadratic_risk,empirical_mse,relative_formula_error,pure_geometry_predictor_risk,blup_gain_over_geometry,minimum_random_unbiased_excess,unbiasedness_error,gate_pass
factorized,0.0,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.060184763229016405,0.003079387150273227,0.060000000000000026,1.3877787807814457e-17,0.0008292248351804837,1.1102230246251565e-16,True
independent_mismatch,0.48999999999999994,0.7949999999999999,1.285,1.2849999999999997,1.284162713971392,0.0006515844580606121,1.2850000000000001,2.220446049250313e-16,0.0027297389127618477,1.1102230246251565e-16,True
correlated_mismatch,0.14358442533757343,0.051862580714961616,0.19544700605253504,0.19544700605253496,0.19595596422704673,0.0026040725043129168,0.20934151140825008,0.013894505355715042,0.0009129142291590397,1.5543122344752192e-15,True
