scope,condition_seed_units,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
all,654,0.003094006287189992,0.0030906671822340612,0.001079217249737252,0.04719090342131136,0.047047189158502874,0.0030453806218846413,0.7876073645898714,0.7889080630698474,0.0013006984799760163
Norman,268,0.0026289477384751326,0.002626281127220064,0.0010143264607517244,0.05654184768933651,0.05641894067437576,0.0021737353833228834,0.8021497464078261,0.8027548610605512,0.0006051146527251127
Replogle_exp6,112,0.0012425428744638877,0.001234863218126808,0.0061805966577959115,0.017227574457116177,0.016867392787850374,0.02090727688696914,0.8084344375889609,0.8115407270834778,0.0031062894945168215
Schmidt,87,0.0065811254368562805,0.0065741254217405645,0.0010636501587577563,0.028655064083729285,0.028417021544539667,0.008307171761824383,0.5988982620504916,0.6028129937239181,0.003914731673426442
Wessels,187,0.0032470556308260277,0.0032470556308260277,0.0,0.0603591269642459,0.0603591269642459,0.0,0.8420870513161614,0.8420870513161614,0.0
combo_seen0,43,0.004385006866465041,0.0043769208609409655,0.0018440120552407624,0.07665270061442388,0.07633371800240431,0.004161400830795303,0.7677356480809596,0.7721524536367266,0.004416805555766774
combo_seen1,374,0.003409412061360021,0.00340605185249635,0.0009855684215334115,0.046572337556480346,0.04644364277819807,0.0027633308748181706,0.8094731737371691,0.8102500985570358,0.0007769248198666963
combo_seen2,123,0.0022571220852883747,0.002256286187358923,0.0003703379338230173,0.027138405294317932,0.027105523413689398,0.0012116364344894048,0.9029301880889359,0.9026303189434026,-0.00029986914553325236
unseen_single,114,0.002475251658992454,0.002471071458612563,0.0016887981327896595,0.059743040471865315,0.059496579444101895,0.004125351267977084,0.598940381242582,0.6025109793941328,0.0035705981515507814
