condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
AHR,0.0010759260603350192,0.001062507177357148,0.01247193787061249,0.030122821651806433,0.02944852278216841,0.022384983632420922,0.864277412078499,0.8548988293381347,-0.009378582740364294
ARRDC3,0.0004027196490441657,0.0004030491774463023,-0.0008182575717839996,0.0035951778096876595,0.0036117366118950233,-0.004605836785803466,0.7877566435156789,0.787119210664882,-0.0006374328507968707
ATL1,0.002118169529412697,0.0021043864546653693,0.006507068747773535,0.05550382651943938,0.05550382651943938,0.0,0.8823870293873395,0.8823870293873395,0.0
BAK1,0.001545585028939481,0.001546606992475838,-0.0006612146968440749,0.0072184296259709246,0.007269783293672857,-0.0071142437292966,0.41388275800154795,0.39901846556876863,-0.014864292432779314
BPGM,0.001785208254881386,0.0017850777048821326,7.312872259933712e-05,0.05852943270511094,0.05852287256764846,0.0001120827105147856,0.5635400338186813,0.5627634633890185,-0.0007765704296628373
CDKN1A,0.0013359040054958297,0.0013364547591849538,-0.00041227040779752904,0.027204946557563208,0.02723262193044169,-0.0010172919406374972,0.8934231086219121,0.893724359811312,0.00030125118939994255
CEBPA,0.01757078790466672,0.017572838472445507,-0.00011670323436327747,0.4909252410055685,0.49102828203645266,-0.00020989149116287895,0.7400318645436371,0.7436324468217524,0.0036005822781153274
CEBPB,0.0034564633906283095,0.0034578259981775552,-0.00039422015952496667,0.10299974665969253,0.10299974665969253,0.0,0.8578753080822963,0.8578753080822963,0.0
CITED1,0.0014492906383481573,0.0014500769790229636,-0.0005425693466857314,0.023806647363038037,0.023846160981947046,-0.0016597725125444276,0.8761326155095701,0.8815288810537233,0.005396265544153178
CLDN6,0.002009359246377905,0.0020262434487666263,-0.008402779353247507,0.06132523108398173,0.06217366225401496,-0.013834944525057633,0.9329179938758685,0.9309871219129476,-0.0019308719629208548
COL1A1,0.003100629974930024,0.0031456720171147384,-0.014526738936570761,0.08598262825317499,0.08824599087295688,-0.026323487264397743,0.7845819096551673,0.7711378917415836,-0.013444017913583628
COL2A1,0.003610351968165314,0.0035268119408591045,0.023139025791067743,0.10180998227531304,0.09761209590317606,0.041232561663601154,0.6221834538936252,0.6480573500813036,0.025873896187678436
CSRNP1,0.0023052236111487322,0.0023007727919880866,0.0019307537625070884,0.0369981221157417,0.03677446845291925,0.006045000395501028,-0.6031312197338294,-0.6268700614323243,-0.023738841698494828
EGR1,0.0008429628985801493,0.0008582220234069403,-0.018101775122597762,0.01349601302574335,0.014262784048289602,-0.05681463266845205,0.7720640016017282,0.7550245814019874,-0.017039420199740807
FOSB,0.0019879746655781204,0.0019757409735982855,0.0061538470241406535,0.05638696129853658,0.05638696129853658,0.0,0.0430840980629261,0.0430840980629261,0.0
FOXA1,0.0007945966578343282,0.0007865464534806771,0.010131183254145448,0.015634507667915562,0.015229984899144589,0.025873713286227534,0.7168602289862711,0.7258352042343809,0.008974975248109751
FOXA3,0.0007021102562995384,0.0006992989127255003,0.004004134035664432,0.01263236311822544,0.012491093103630026,0.011183181901381194,0.9058691093537159,0.9154162836626178,0.009547174308901951
FOXF1,0.000659174816351483,0.0006479541851825406,0.01702223885167274,0.007854412561503687,0.007290575845264335,0.07178598167899253,0.718342398452515,0.7304963392004576,0.012153940747942626
FOXL2,0.0009803215896056641,0.0009809142737797218,-0.0006045813744610999,0.020965526635454007,0.020995309015200404,-0.0014205405027142366,0.8615459674777292,0.8628977408934589,0.0013517734157297845
FOXO4,0.001964410709106687,0.0019646834915345766,-0.00013886221787774667,0.029809848921454152,0.029823556238455614,-0.0004598251080566979,0.8547117765296248,0.8606583681112318,0.00594659158160693
GLB1L2,0.000964901428606378,0.0009594529617952169,0.005646656383368038,0.032764762660948764,0.03249097720368792,0.008356094628060947,0.6296361482233852,0.6447826389124279,0.015146490689042724
HK2,0.0006681227163723045,0.0006704182320425466,-0.00343576952854714,0.00726987368572909,0.007385223348158759,-0.015866804213682948,0.7505158568771072,0.7460486914060752,-0.004467165471031986
HNF4A,0.0031139517640915624,0.003092843847341446,0.006778498303513064,0.07082515047265658,0.06976447765596322,0.014975934531940847,0.6893890446581733,0.6908538621654267,0.0014648175072533576
HOXA13,0.00486010378521344,0.004856932237861417,0.0006525678241012145,0.11039859210565624,0.1102392218512171,0.001443589554897748,0.9021263201675075,0.9222184050584022,0.020092084890894757
