scope,condition_seed_units,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
all,654,0.003258736059840293,0.0030906671822340612,0.051574866610850534,0.05194849019384439,0.047047189158502874,0.09434924897821773,0.7053412839192322,0.7889080630698474,0.0835667791506153
Norman,268,0.0027939082451502676,0.002626281127220064,0.05999735969181341,0.06237557460901242,0.05641894067437576,0.09549625750102553,0.7667241602433332,0.8027548610605512,0.036030700817217966
Replogle_exp6,112,0.0014102007757402452,0.001234863218126808,0.12433517313972464,0.0207713113871569,0.016867392787850374,0.18794762287952382,0.6646148768632949,0.8115407270834778,0.14692585022018304
Schmidt,87,0.007095449236642586,0.0065741254217405645,0.07347298212067854,0.04188637901015339,0.028417021544539667,0.3215689153351906,0.2747583900362457,0.6028129937239181,0.32805460368767236
Wessels,187,0.0032470556308260277,0.0032470556308260277,0.0,0.0603591269642459,0.0603591269642459,0.0,0.8420870513161614,0.8420870513161614,0.0
combo_seen0,43,0.0048326009390760125,0.0043769208609409655,0.09429292504797049,0.08649656914642319,0.07633371800240431,0.11749426878209457,0.5928252443081776,0.7721524536367266,0.17932720932854881
combo_seen1,374,0.003571041160720697,0.00340605185249635,0.046202018066644035,0.050889054737576114,0.04644364277819807,0.08735497215073207,0.7278787293416694,0.8102500985570358,0.08237136921536627
combo_seen2,123,0.002301725027772502,0.002256286187358923,0.019741211424178062,0.028327648433313184,0.027105523413689398,0.04314248048159819,0.8972778700071977,0.9026303189434026,0.005352448936204932
unseen_single,114,0.00267306991429583,0.002471071458612563,0.07556796573219471,0.06787853407304428,0.059496579444101895,0.12348461473729722,0.4667534332741799,0.6025109793941328,0.13575754611995275
