seed,strategy,rep,budget,cosine,nmse,global_nullity,target_components_witnessed
0,d_optimal,0,0,0.1901453915868886,0.9640924907480685,12,0
0,v_optimal,0,0,0.1901453915868886,0.9640924907480685,12,0
0,random,0,0,0.1901453915868886,0.9640924907480685,12,0
0,random,1,0,0.1901453915868886,0.9640924907480685,12,0
0,random,2,0,0.1901453915868886,0.9640924907480685,12,0
0,random,3,0,0.1901453915868886,0.9640924907480685,12,0
0,random,4,0,0.1901453915868886,0.9640924907480685,12,0
0,random,5,0,0.1901453915868886,0.9640924907480685,12,0
0,random,6,0,0.1901453915868886,0.9640924907480685,12,0
0,random,7,0,0.1901453915868886,0.9640924907480685,12,0
0,random,8,0,0.1901453915868886,0.9640924907480685,12,0
0,random,9,0,0.1901453915868886,0.9640924907480685,12,0
0,random,10,0,0.1901453915868886,0.9640924907480685,12,0
0,random,11,0,0.1901453915868886,0.9640924907480685,12,0
0,random,12,0,0.1901453915868886,0.9640924907480685,12,0
0,random,13,0,0.1901453915868886,0.9640924907480685,12,0
0,random,14,0,0.1901453915868886,0.9640924907480685,12,0
0,random,15,0,0.1901453915868886,0.9640924907480685,12,0
0,random,16,0,0.1901453915868886,0.9640924907480685,12,0
0,random,17,0,0.1901453915868886,0.9640924907480685,12,0
0,random,18,0,0.1901453915868886,0.9640924907480685,12,0
0,random,19,0,0.1901453915868886,0.9640924907480685,12,0
0,d_optimal,0,1,0.38917453085606274,0.7058509795055629,11,1
0,v_optimal,0,1,0.38917453085606274,0.7058509795055629,11,1
0,random,0,1,0.1901453915868886,0.9640924907480685,11,0
0,random,1,1,0.1901453915868886,0.9640924907480685,11,0
0,random,2,1,0.1901453915868886,0.9640924907480685,11,0
0,random,3,1,0.1901453915868886,0.9640924907480685,11,0
0,random,4,1,0.1901453915868886,0.9640924907480685,11,0
0,random,5,1,0.1901453915868886,0.9640924907480685,11,0
0,random,6,1,0.1901453915868886,0.9640924907480685,11,0
0,random,7,1,0.3596950040322866,0.7769660003739433,11,1
0,random,8,1,0.1901453915868886,0.9640924907480685,11,0
0,random,9,1,0.40129683803611704,0.7057378796938772,11,1
0,random,10,1,0.1901453915868886,0.9640924907480685,11,0
0,random,11,1,0.1901453915868886,0.9640924907480685,11,0
0,random,12,1,0.1901453915868886,0.9640924907480685,11,0
0,random,13,1,0.1901453915868886,0.9640924907480685,11,0
0,random,14,1,0.1901453915868886,0.9640924907480685,11,0
0,random,15,1,0.38917453085606274,0.7058509795055629,11,1
0,random,16,1,0.38917453085606274,0.7058509795055629,11,1
0,random,17,1,0.3596950040322866,0.7769660003739433,11,1
0,random,18,1,0.1901453915868886,0.9640924907480685,11,0
0,random,19,1,0.1901453915868886,0.9640924907480685,11,0
0,d_optimal,0,2,0.38917453085606274,0.7058509795055629,10,1
0,v_optimal,0,2,0.618912636667796,0.44625438574010456,10,2
0,random,0,2,0.40129683803611704,0.7057378796938772,10,1
0,random,1,2,0.1901453915868886,0.9640924907480685,10,0
0,random,2,2,0.3596950040322866,0.7769660003739433,10,1
0,random,3,2,0.1901453915868886,0.9640924907480685,10,0
0,random,4,2,0.1901453915868886,0.9640924907480685,10,0
0,random,5,2,0.38917453085606274,0.7058509795055629,10,1
0,random,6,2,0.38917453085606274,0.7058509795055629,10,1
0,random,7,2,0.3596950040322866,0.7769660003739433,10,1
0,random,8,2,0.1901453915868886,0.9640924907480685,10,0
0,random,9,2,0.3596950040322866,0.7769660003739433,10,1
0,random,10,2,0.38917453085606274,0.7058509795055629,10,1
0,random,11,2,0.1901453915868886,0.9640924907480685,10,0
0,random,12,2,0.1901453915868886,0.9640924907480685,10,0
0,random,13,2,0.1901453915868886,0.9640924907480685,10,0
0,random,14,2,0.41988349739862185,0.7044958969826102,10,1
0,random,15,2,0.38917453085606274,0.7058509795055629,10,1
0,random,16,2,0.38917453085606274,0.7058509795055629,10,1
0,random,17,2,0.1901453915868886,0.9640924907480685,10,0
0,random,18,2,0.3596950040322866,0.7769660003739433,10,1
0,random,19,2,0.1901453915868886,0.9640924907480685,10,0
0,d_optimal,0,4,0.38917453085606274,0.7058509795055629,8,1
0,v_optimal,0,4,0.9996136955624224,0.0007732843117883981,8,4
0,random,0,4,0.3596950040322866,0.7769660003739433,8,1
0,random,1,4,0.618912636667796,0.44625438574010456,8,2
0,random,2,4,0.1901453915868886,0.9640924907480685,8,0
0,random,3,4,0.41988349739862185,0.7044958969826102,8,1
0,random,4,4,0.1901453915868886,0.9640924907480685,8,0
0,random,5,4,0.8300640831170244,0.18789977468591346,8,3
0,random,6,4,0.5587241433014607,0.5187244891314378,8,2
0,random,7,4,0.3596950040322866,0.7769660003739433,8,1
0,random,8,4,0.38917453085606274,0.7058509795055629,8,1
0,random,9,4,0.3596950040322866,0.7769660003739433,8,1
0,random,10,4,0.618912636667796,0.44625438574010456,8,2
0,random,11,4,0.41988349739862185,0.7044958969826102,8,1
0,random,12,4,0.38917453085606274,0.7058509795055629,8,1
0,random,13,4,0.618912636667796,0.44625438574010456,8,2
0,random,14,4,0.40129683803611704,0.7057378796938772,8,1
0,random,15,4,0.5587241433014607,0.5187244891314378,8,2
0,random,16,4,0.38917453085606274,0.7058509795055629,8,1
0,random,17,4,0.1901453915868886,0.9640924907480685,8,0
0,random,18,4,0.5894331098440199,0.5173694066084851,8,2
0,random,19,4,0.5587241433014607,0.5187244891314378,8,2
0,d_optimal,0,8,0.788462249113194,0.2591278953659796,4,3
0,v_optimal,0,8,0.9996136955624224,0.0007732843117883981,4,4
0,random,0,8,0.6003259773052911,0.44749636845137175,4,2
0,random,1,8,0.7698755897506893,0.26036987807724665,4,3
0,random,2,8,0.3596950040322866,0.7769660003739433,4,1
0,random,3,8,0.8005845562932483,0.2590147955542939,4,3
0,random,4,8,0.8005845562932483,0.2590147955542939,4,3
0,random,5,8,0.7698755897506893,0.26036987807724665,4,3
0,random,6,8,0.6003259773052911,0.44749636845137175,4,2
0,random,7,8,0.9996136955624224,0.0007732843117883981,4,4
0,random,8,8,0.8300640831170244,0.18789977468591346,4,3
0,random,9,8,0.6310349438478503,0.446141285928419,4,2
0,random,10,8,0.9996136955624224,0.0007732843117883981,4,4
0,random,11,8,0.5587241433014607,0.5187244891314378,4,2
0,random,12,8,0.618912636667796,0.44625438574010456,4,2
0,random,13,8,0.9996136955624224,0.0007732843117883981,4,4
0,random,14,8,0.6310349438478503,0.446141285928419,4,2
0,random,15,8,0.8300640831170244,0.18789977468591346,4,3
0,random,16,8,0.9996136955624224,0.0007732843117883981,4,4
0,random,17,8,0.8005845562932483,0.2590147955542939,4,3
0,random,18,8,0.570846450481515,0.5186113893197523,4,2
0,random,19,8,0.788462249113194,0.2591278953659796,4,3
0,d_optimal,0,12,0.9996136955624224,0.0007732843117883981,0,4
0,v_optimal,0,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,0,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,1,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,2,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,3,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,4,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,5,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,6,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,7,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,8,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,9,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,10,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,11,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,12,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,13,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,14,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,15,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,16,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,17,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,18,12,0.9996136955624224,0.0007732843117883981,0,4
0,random,19,12,0.9996136955624224,0.0007732843117883981,0,4
1,d_optimal,0,0,0.2283139732394932,0.9500229257121956,12,0
1,v_optimal,0,0,0.2283139732394932,0.9500229257121956,12,0
1,random,0,0,0.2283139732394932,0.9500229257121956,12,0
1,random,1,0,0.2283139732394932,0.9500229257121956,12,0
1,random,2,0,0.2283139732394932,0.9500229257121956,12,0
1,random,3,0,0.2283139732394932,0.9500229257121956,12,0
1,random,4,0,0.2283139732394932,0.9500229257121956,12,0
1,random,5,0,0.2283139732394932,0.9500229257121956,12,0
1,random,6,0,0.2283139732394932,0.9500229257121956,12,0
1,random,7,0,0.2283139732394932,0.9500229257121956,12,0
1,random,8,0,0.2283139732394932,0.9500229257121956,12,0
1,random,9,0,0.2283139732394932,0.9500229257121956,12,0
1,random,10,0,0.2283139732394932,0.9500229257121956,12,0
1,random,11,0,0.2283139732394932,0.9500229257121956,12,0
1,random,12,0,0.2283139732394932,0.9500229257121956,12,0
1,random,13,0,0.2283139732394932,0.9500229257121956,12,0
1,random,14,0,0.2283139732394932,0.9500229257121956,12,0
1,random,15,0,0.2283139732394932,0.9500229257121956,12,0
1,random,16,0,0.2283139732394932,0.9500229257121956,12,0
1,random,17,0,0.2283139732394932,0.9500229257121956,12,0
1,random,18,0,0.2283139732394932,0.9500229257121956,12,0
1,random,19,0,0.2283139732394932,0.9500229257121956,12,0
1,d_optimal,0,1,0.2283139732394932,0.9500229257121956,11,0
1,v_optimal,0,1,0.4284968727348191,0.6595768678491678,11,1
1,random,0,1,0.4284968727348191,0.6595768678491678,11,1
1,random,1,1,0.2283139732394932,0.9500229257121956,11,0
1,random,2,1,0.2283139732394932,0.9500229257121956,11,0
1,random,3,1,0.2283139732394932,0.9500229257121956,11,0
1,random,4,1,0.2283139732394932,0.9500229257121956,11,0
1,random,5,1,0.2283139732394932,0.9500229257121956,11,0
1,random,6,1,0.2283139732394932,0.9500229257121956,11,0
1,random,7,1,0.4284968727348191,0.6595768678491678,11,1
1,random,8,1,0.39719873211232953,0.7657272755683889,11,1
1,random,9,1,0.2283139732394932,0.9500229257121956,11,0
1,random,10,1,0.2283139732394932,0.9500229257121956,11,0
1,random,11,1,0.2283139732394932,0.9500229257121956,11,0
1,random,12,1,0.2283139732394932,0.9500229257121956,11,0
1,random,13,1,0.4284968727348191,0.6595768678491678,11,1
1,random,14,1,0.4091135254154745,0.7355220219803766,11,1
1,random,15,1,0.2283139732394932,0.9500229257121956,11,0
1,random,16,1,0.2283139732394932,0.9500229257121956,11,0
1,random,17,1,0.44976833678707556,0.6899553271444857,11,1
1,random,18,1,0.2283139732394932,0.9500229257121956,11,0
1,random,19,1,0.2283139732394932,0.9500229257121956,11,0
1,d_optimal,0,2,0.4284968727348191,0.6595768678491678,10,1
1,v_optimal,0,2,0.6092964249108004,0.44507596411734884,10,2
1,random,0,2,0.4284968727348191,0.6595768678491678,10,1
1,random,1,2,0.2283139732394932,0.9500229257121956,10,0
1,random,2,2,0.2283139732394932,0.9500229257121956,10,0
1,random,3,2,0.39719873211232953,0.7657272755683889,10,1
1,random,4,2,0.2283139732394932,0.9500229257121956,10,0
1,random,5,2,0.44976833678707556,0.6899553271444857,10,1
1,random,6,2,0.2283139732394932,0.9500229257121956,10,0
1,random,7,2,0.4284968727348191,0.6595768678491678,10,1
1,random,8,2,0.2283139732394932,0.9500229257121956,10,0
1,random,9,2,0.2283139732394932,0.9500229257121956,10,0
1,random,10,2,0.39719873211232953,0.7657272755683889,10,1
1,random,11,2,0.39719873211232953,0.7657272755683889,10,1
1,random,12,2,0.44976833678707556,0.6899553271444857,10,1
1,random,13,2,0.2283139732394932,0.9500229257121956,10,0
1,random,14,2,0.6499512362824015,0.39950926928145797,10,2
1,random,15,2,0.2283139732394932,0.9500229257121956,10,0
1,random,16,2,0.39719873211232953,0.7657272755683889,10,1
1,random,17,2,0.4091135254154745,0.7355220219803766,10,1
1,random,18,2,0.2283139732394932,0.9500229257121956,10,0
1,random,19,2,0.2283139732394932,0.9500229257121956,10,0
1,d_optimal,0,4,0.8307507884583828,0.18500836554963895,8,3
1,v_optimal,0,4,0.9996355473312191,0.0007127154058323928,8,4
1,random,0,4,0.39719873211232953,0.7657272755683889,8,1
1,random,1,4,0.4091135254154745,0.7355220219803766,8,1
1,random,2,4,0.4284968727348191,0.6595768678491678,8,1
1,random,3,4,0.4284968727348191,0.6595768678491678,8,1
1,random,4,4,0.6499512362824015,0.39950926928145797,8,2
1,random,5,4,0.5779982842883109,0.55122637183657,8,2
1,random,6,4,0.4284968727348191,0.6595768678491678,8,1
1,random,7,4,0.44976833678707556,0.6899553271444857,8,1
1,random,8,4,0.44976833678707556,0.6899553271444857,8,1
1,random,9,4,0.6186530956599119,0.505659677000679,8,2
1,random,10,4,0.39719873211232953,0.7657272755683889,8,1
1,random,11,4,0.4284968727348191,0.6595768678491678,8,1
1,random,12,4,0.4284968727348191,0.6595768678491678,8,1
1,random,13,4,0.39719873211232953,0.7657272755683889,8,1
1,random,14,4,0.4091135254154745,0.7355220219803766,8,1
1,random,15,4,0.6305678889630568,0.4754544234126667,8,2
1,random,16,4,0.4091135254154745,0.7355220219803766,8,1
1,random,17,4,0.6092964249108004,0.44507596411734884,8,2
1,random,18,4,0.6305678889630568,0.4754544234126667,8,2
1,random,19,4,0.4091135254154745,0.7355220219803766,8,1
1,d_optimal,0,8,0.9996355473312191,0.0007127154058323928,4,4
1,v_optimal,0,8,0.9996355473312191,0.0007127154058323928,4,4
1,random,0,8,0.7781811837836368,0.26078031397354223,4,3
1,random,1,8,0.7781811837836368,0.26078031397354223,4,3
1,random,2,8,0.8188359951552378,0.21521361913765139,4,3
1,random,3,8,0.5973816316076555,0.4752812177053612,4,2
1,random,4,8,0.5973816316076555,0.4752812177053612,4,2
1,random,5,8,0.8188359951552378,0.21521361913765139,4,3
1,random,6,8,0.5779982842883109,0.55122637183657,4,2
1,random,7,8,0.8307507884583828,0.18500836554963895,4,3
1,random,8,8,0.6305678889630568,0.4754544234126667,4,2
1,random,9,8,0.6499512362824015,0.39950926928145797,4,2
1,random,10,8,0.44976833678707556,0.6899553271444857,4,1
1,random,11,8,0.39719873211232953,0.7657272755683889,4,1
1,random,12,8,0.7994526478358932,0.29115877326886014,4,3
1,random,13,8,0.8188359951552378,0.21521361913765139,4,3
1,random,14,8,0.5973816316076555,0.4752812177053612,4,2
1,random,15,8,0.9996355473312191,0.0007127154058323928,4,4
1,random,16,8,0.8307507884583828,0.18500836554963895,4,3
1,random,17,8,0.8307507884583828,0.18500836554963895,4,3
1,random,18,8,0.6186530956599119,0.505659677000679,4,2
1,random,19,8,0.8188359951552378,0.21521361913765139,4,3
1,d_optimal,0,12,0.9996355473312191,0.0007127154058323928,0,4
1,v_optimal,0,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,0,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,1,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,2,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,3,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,4,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,5,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,6,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,7,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,8,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,9,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,10,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,11,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,12,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,13,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,14,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,15,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,16,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,17,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,18,12,0.9996355473312191,0.0007127154058323928,0,4
1,random,19,12,0.9996355473312191,0.0007127154058323928,0,4
2,d_optimal,0,0,0.21932588423570146,0.9526384565088034,12,0
2,v_optimal,0,0,0.21932588423570146,0.9526384565088034,12,0
2,random,0,0,0.21932588423570146,0.9526384565088034,12,0
2,random,1,0,0.21932588423570146,0.9526384565088034,12,0
2,random,2,0,0.21932588423570146,0.9526384565088034,12,0
2,random,3,0,0.21932588423570146,0.9526384565088034,12,0
2,random,4,0,0.21932588423570146,0.9526384565088034,12,0
2,random,5,0,0.21932588423570146,0.9526384565088034,12,0
2,random,6,0,0.21932588423570146,0.9526384565088034,12,0
2,random,7,0,0.21932588423570146,0.9526384565088034,12,0
2,random,8,0,0.21932588423570146,0.9526384565088034,12,0
2,random,9,0,0.21932588423570146,0.9526384565088034,12,0
2,random,10,0,0.21932588423570146,0.9526384565088034,12,0
2,random,11,0,0.21932588423570146,0.9526384565088034,12,0
2,random,12,0,0.21932588423570146,0.9526384565088034,12,0
2,random,13,0,0.21932588423570146,0.9526384565088034,12,0
2,random,14,0,0.21932588423570146,0.9526384565088034,12,0
2,random,15,0,0.21932588423570146,0.9526384565088034,12,0
2,random,16,0,0.21932588423570146,0.9526384565088034,12,0
2,random,17,0,0.21932588423570146,0.9526384565088034,12,0
2,random,18,0,0.21932588423570146,0.9526384565088034,12,0
2,random,19,0,0.21932588423570146,0.9526384565088034,12,0
2,d_optimal,0,1,0.4059586401991899,0.7115057448947071,11,1
2,v_optimal,0,1,0.4059586401991899,0.7115057448947071,11,1
2,random,0,1,0.44438143831036203,0.692273356254771,11,1
2,random,1,1,0.4130570060689456,0.7738119526301336,11,1
2,random,2,1,0.21932588423583654,0.9526384565087623,11,0
