design,corr,nmse,q_nullity,edges,n
dense_bipartite_400,0.3147675963796629,0.9001391961496846,1.0,400.0,20
odd_witness_1,0.9970148705577977,0.006048126183836383,0.0,401.0,20
odd_witness_16,0.9993729112657068,0.001261756891024984,0.0,416.0,20
odd_witness_4,0.9988853842797353,0.0022470906223827684,0.0,404.0,20
random_120,0.9976062241089407,0.004806529296955348,0.0,120.0,20
