seed,design,edges,corr,nmse,q_nullity,q_min_eig,q_trace_inv_1e3
0,dense_bipartite_400,400,0.30413255043359505,0.9075094664078096,1,-1.5987211554602254e-14,1001.9249043757906
0,odd_witness_1,401,0.9974777973490793,0.005374966018471506,0,0.09149805847683545,12.731748853721374
0,odd_witness_4,404,0.9991097620566187,0.0017858869997559397,0,0.36985418726534647,4.604625331226501
0,odd_witness_16,416,0.9993328550939977,0.001334956921919921,0,1.4843042405644336,2.532581038460884
0,random_120,120,0.9972555783931596,0.005482942876134596,0,0.837378848413528,10.547316585627058
1,dense_bipartite_400,400,0.308986750725135,0.9043758357138156,1,-1.5987211554602254e-14,1001.9249043757906
1,odd_witness_1,401,0.9965431745753823,0.006984399409908537,0,0.09149805847683545,12.731748853721374
1,odd_witness_4,404,0.9988262969670667,0.0023662167466171414,0,0.36985418726534647,4.604625331226501
1,odd_witness_16,416,0.9993555056153738,0.0012994227372483266,0,1.4834636077735155,2.532949205261554
1,random_120,120,0.997467308519969,0.005110238127410731,0,0.6736531063921062,10.368455619750542
2,dense_bipartite_400,400,0.33286562456301527,0.8891964101474648,1,-1.5987211554602254e-14,1001.9249043757906
2,odd_witness_1,401,0.9971025308667407,0.006009450098619928,0,0.09149805847683545,12.731748853721374
2,odd_witness_4,404,0.9988838368171757,0.0022644050183878175,0,0.36985418726534647,4.604625331226501
2,odd_witness_16,416,0.9993714129892569,0.0012715390035783402,0,1.4745762928435198,2.537119657504427
2,random_120,120,0.9976378040515372,0.004735515604756404,0,1.3205188936770957,10.083158059331746
3,dense_bipartite_400,400,0.3475321395057643,0.8790888492344784,1,-1.5987211554602254e-14,1001.9249043757906
3,odd_witness_1,401,0.9975146053856412,0.004966409037897964,0,0.09149805847683545,12.731748853721374
3,odd_witness_4,404,0.9988620920766009,0.0022742283243915753,0,0.36985418726534647,4.604625331226501
3,odd_witness_16,416,0.9993363797179746,0.0013283434864845567,0,1.4995993891171997,2.5254882016150404
3,random_120,120,0.9977316523313665,0.004559742153232204,0,1.433866799377783,9.268592572444172
4,dense_bipartite_400,400,0.3015643866528113,0.9090851403644947,1,-1.5987211554602254e-14,1001.9249043757906
4,odd_witness_1,401,0.9972554087151054,0.005702894213462669,0,0.09149805847683545,12.731748853721374
4,odd_witness_4,404,0.9989093669427955,0.0021919879234137385,0,0.36985418726534647,4.604625331226501
4,odd_witness_16,416,0.9993939147083215,0.0012123368942990355,0,1.4661505594603943,2.5411428724111715
4,random_120,120,0.997856434906328,0.0043138647379446305,0,1.2961256787189488,9.226852157636845
5,dense_bipartite_400,400,0.3088249666707496,0.9046147141636991,1,-1.5987211554602254e-14,1001.9249043757906
5,odd_witness_1,401,0.9970542700464602,0.005905120433198481,0,0.09149805847683545,12.731748853721374
5,odd_witness_4,404,0.9987727030799853,0.002453750995047206,0,0.36985418726534647,4.604625331226501
5,odd_witness_16,416,0.9993764006562984,0.001253053925432395,0,1.4450390605585997,2.5512553898652404
5,random_120,120,0.9976087420872339,0.0047959266270048715,0,1.2499438333680055,9.701175913740602
6,dense_bipartite_400,400,0.39039811140739933,0.846851083583661,1,-1.5987211554602254e-14,1001.9249043757906
6,odd_witness_1,401,0.9975703086992237,0.005113161745666829,0,0.09149805847683545,12.731748853721374
6,odd_witness_4,404,0.9990173741562279,0.0019793948741534243,0,0.36985418726534647,4.604625331226501
6,odd_witness_16,416,0.9993673939781287,0.0012657836664836486,0,1.4343245058525511,2.5566611098719996
6,random_120,120,0.9976883130562014,0.004640047807016155,0,0.9048184933548117,9.761283837502209
7,dense_bipartite_400,400,0.3006784988470321,0.9092364177932113,1,-1.5987211554602254e-14,1001.9249043757906
7,odd_witness_1,401,0.9969200851384835,0.006268546087234383,0,0.09149805847683545,12.731748853721374
7,odd_witness_4,404,0.9988546178777143,0.0023319887553229154,0,0.36985418726534647,4.604625331226501
7,odd_witness_16,416,0.9993215223759245,0.0013573088373708393,0,1.4683931163687323,2.5403130930801296
7,random_120,120,0.9974607140803218,0.005107439710504007,0,1.131718207873251,10.464365792627804
8,dense_bipartite_400,400,0.3164834265825192,0.8998251513905959,1,-1.5987211554602254e-14,1001.9249043757906
8,odd_witness_1,401,0.9972043997001806,0.005609239998964469,0,0.09149805847683545,12.731748853721374
8,odd_witness_4,404,0.9986978079434018,0.002603284869280867,0,0.36985418726534647,4.604625331226501
8,odd_witness_16,416,0.9993604529629305,0.0012822788861106711,0,1.453951915914811,2.54709742714096
8,random_120,120,0.9975780064327969,0.004875503582814062,0,1.146215317621499,9.839048525977017
9,dense_bipartite_400,400,0.3278082150469002,0.8925421431883174,1,-1.5987211554602254e-14,1001.9249043757906
9,odd_witness_1,401,0.9967063522106384,0.006620501909915175,0,0.09149805847683545,12.731748853721374
9,odd_witness_4,404,0.9989126865580394,0.002188523755202025,0,0.36985418726534647,4.604625331226501
9,odd_witness_16,416,0.999394320614823,0.0012126738124391264,0,1.5002661513155915,2.5251770015649138
9,random_120,120,0.9976614888028738,0.00469305946760652,0,1.5120394564996156,9.644079681771425
10,dense_bipartite_400,400,0.2841558728559311,0.9192067126197049,1,-1.5987211554602254e-14,1001.9249043757906
10,odd_witness_1,401,0.9969392275775643,0.006112839562646478,0,0.09149805847683545,12.731748853721374
10,odd_witness_4,404,0.9988981766495021,0.002211417424394474,0,0.36985418726534647,4.604625331226501
10,odd_witness_16,416,0.9993800941417664,0.0012514825509893383,0,1.4717885440480512,2.5385384812427425
10,random_120,120,0.9974680144369905,0.005072309444902298,0,0.804704668268239,10.373758006110513
11,dense_bipartite_400,400,0.3299383419552436,0.8911298495396361,1,-1.5987211554602254e-14,1001.9249043757906
11,odd_witness_1,401,0.9965656072607628,0.006884797515424326,0,0.09149805847683545,12.731748853721374
11,odd_witness_4,404,0.9987371571933015,0.0025727770312941466,0,0.36985418726534647,4.604625331226501
11,odd_witness_16,416,0.9993784753610201,0.0012436240418073512,0,1.445028022982556,2.5513108320262647
11,random_120,120,0.9975632645629642,0.00487980647699915,0,0.7878326831465794,10.360057048808777
12,dense_bipartite_400,400,0.27623532771956755,0.9235893445727641,1,-1.5987211554602254e-14,1001.9249043757906
12,odd_witness_1,401,0.9972479479933969,0.005615370322293371,0,0.09149805847683545,12.731748853721374
12,odd_witness_4,404,0.9988212244210886,0.002373961041181263,0,0.36985418726534647,4.604625331226501
12,odd_witness_16,416,0.999393270473697,0.0012142964516528786,0,1.4638559643452291,2.542194569802706
12,random_120,120,0.9975541724294945,0.004912675388620082,0,0.8366159712624519,9.768674248933284
