strategy,pairs,residual_mse,residual_mse_ci95_low,residual_mse_ci95_high,residual_cosine,residual_cosine_ci95_low,residual_cosine_ci95_high,full_effect_cosine,full_effect_cosine_ci95_low,full_effect_cosine_ci95_high
Saturation,14,0.02074837595398565,0.019392439976551167,0.02222976977995515,0.0,0.0,0.0,0.8341215131798798,0.8251105431249464,0.8422610146237544
GEARS,14,0.04235557297019499,0.039933039070073964,0.04528699558648391,0.3516150404678901,0.3256431328927537,0.3814971431824327,0.7201645484178492,0.7088510734447085,0.7303876826061467
CPA,14,0.19757683350031743,0.19089343141418721,0.20585620108137684,0.14560354590297273,0.12243981868441473,0.17019873800338556,0.0849063101465566,0.06920132829633097,0.10022443508969653
GEARS+Witness,14,0.01171007498338288,0.010667130264052003,0.012834671017039641,0.6676172215075452,0.6532603269167988,0.6825512020512542,0.906216693091267,0.8991640950991495,0.9124223848509319
CPA+Witness,14,0.011875531176716416,0.010732925570200917,0.013105632503577875,0.6627089629974107,0.6454110496061406,0.6800670148045793,0.9051391938676707,0.8971782624677352,0.9120868539042778
WitnessCell,14,0.011933010922551434,0.01075762467029677,0.013195917138700244,0.6606725549891815,0.6434719650885263,0.6786068933078087,0.9048376065890004,0.8968661370349347,0.9118691264156763
