data_seed,model_seed,pair,strategy,residual_mse,residual_cosine,full_effect_mse,full_effect_cosine
41,0,RRM2B+FDPS,Saturation,0.01744351051998559,0.0,0.01744351051998559,0.849677924513651
41,0,XRCC5+FDPS,Saturation,0.024487592808431696,0.0,0.024487592808431696,0.8508304410856926
41,0,RAD1+FDPS,Saturation,0.018633629901425194,0.0,0.018633629901425194,0.8291152901460594
41,0,ATM+FDPS,Saturation,0.022874045985658186,0.0,0.022874045985658186,0.809877266568782
41,0,CHEK1+FDPS,Saturation,0.025671669223700653,0.0,0.025671669223700653,0.7787534321978196
41,0,RAD17+FDPS,Saturation,0.0160619722966756,0.0,0.0160619722966756,0.8622691459323629
41,0,FDPS+ATRIP,Saturation,0.020417147667066787,0.0,0.020417147667066787,0.8438328526236187
41,0,FDPS+AHCYL1,Saturation,0.02173207512311204,0.0,0.02173207512311204,0.8179676645519923
41,0,FDPS+RAD9A,Saturation,0.019430239323939797,0.0,0.019430239323939797,0.842232009608706
41,0,FDPS+LIG4,Saturation,0.01834530976444704,0.0,0.01834530976444704,0.8404457261057947
41,0,FDPS+ATR,Saturation,0.022921418086155745,0.0,0.022921418086155745,0.8429993604566297
41,0,FDPS+NHEJ1,Saturation,0.018771775862833826,0.0,0.018771775862833826,0.8402330038539817
41,0,FDPS+XRCC6,Saturation,0.02614763085593524,0.0,0.02614763085593524,0.8528878719590828
41,0,FDPS+PRKDC,Saturation,0.020528578888414535,0.0,0.020528578888414535,0.828428021195217
41,0,RRM2B+FDPS,GEARS,0.03923127414893221,0.3344097691544219,0.03923127414893221,0.7489075940284041
41,0,XRCC5+FDPS,GEARS,0.05037103203171069,0.32027661598242463,0.05037103203171069,0.6893198887422702
41,0,RAD1+FDPS,GEARS,0.0434919049996459,0.3107918552448024,0.0434919049996459,0.7024171470983328
41,0,ATM+FDPS,GEARS,0.04555548504745312,0.33705356759277877,0.04555548504745312,0.6653963382691669
41,0,CHEK1+FDPS,GEARS,0.03677329224074197,0.4074808898649069,0.03677329224074197,0.7364879218856747
41,0,RAD17+FDPS,GEARS,0.03965382685818467,0.32090938819763676,0.03965382685818467,0.7058797693313469
41,0,FDPS+ATRIP,GEARS,0.04234707621044792,0.34550463122748387,0.04234707621044792,0.7043591496967667
41,0,FDPS+AHCYL1,GEARS,0.03910169702132915,0.326204490864704,0.03910169702132915,0.7178001115648397
41,0,FDPS+RAD9A,GEARS,0.03689239973081901,0.34320432460256656,0.03689239973081901,0.7353614386361778
41,0,FDPS+LIG4,GEARS,0.03504016407985102,0.40706747752349925,0.03504016407985102,0.779616050176038
41,0,FDPS+ATR,GEARS,0.03984310435904554,0.5074013993733689,0.03984310435904554,0.6827571001557576
41,0,FDPS+NHEJ1,GEARS,0.035574616604762195,0.3258197608476932,0.035574616604762195,0.7604292363019586
41,0,FDPS+XRCC6,GEARS,0.05628010496914581,0.25961672995899265,0.05628010496914581,0.6711487727825032
41,0,FDPS+PRKDC,GEARS,0.03752103532745601,0.40884865382850494,0.03752103532745601,0.7311919100522868
41,0,RRM2B+FDPS,CPA,0.18614636759171593,0.12725374652890745,0.18614636759171593,0.13316390518930515
41,0,XRCC5+FDPS,CPA,0.22020682480964832,0.14731268294157795,0.22020682480964832,0.018210621123346767
41,0,RAD1+FDPS,CPA,0.18191417380288638,0.18515637335717522,0.18191417380288638,0.1049457569669752
41,0,ATM+FDPS,CPA,0.18003343778202108,0.08704546580975314,0.18003343778202108,0.16760958496027112
41,0,CHEK1+FDPS,CPA,0.19039055599134042,0.12898060676655165,0.19039055599134042,0.10816743205611809
41,0,RAD17+FDPS,CPA,0.1953873991894114,0.09307941130266924,0.1953873991894114,0.04545126942746829
41,0,FDPS+ATRIP,CPA,0.2020519205520733,0.1213760807147253,0.2020519205520733,0.07580075959007493
41,0,FDPS+AHCYL1,CPA,0.19021589053396876,0.21764397908815447,0.19021589053396876,0.0778679806780731
41,0,FDPS+RAD9A,CPA,0.18682454153247086,0.15798870741350649,0.18682454153247086,0.12708181795451529
41,0,FDPS+LIG4,CPA,0.1884375279506731,0.09880473033855135,0.1884375279506731,0.11216314151242669
41,0,FDPS+ATR,CPA,0.18187152328516135,0.28467343540930623,0.18187152328516135,0.1302374223181437
41,0,FDPS+NHEJ1,CPA,0.19256668882175879,0.17955769536458313,0.19256668882175879,0.09418763537185659
41,0,FDPS+XRCC6,CPA,0.22425132759645355,0.07266190825634655,0.22425132759645355,0.07915328250816994
41,0,FDPS+PRKDC,CPA,0.20130214422040665,0.21850195624713134,0.20130214422040665,0.0719212464981089
41,0,RRM2B+FDPS,GEARS+Witness,0.009942098161760029,0.659032566980398,0.009942098161760029,0.9189453295521895
41,0,XRCC5+FDPS,GEARS+Witness,0.014299764646462045,0.6662283480916813,0.014299764646462045,0.9128825707583019
41,0,RAD1+FDPS,GEARS+Witness,0.009779399135573293,0.7038516777229907,0.009779399135573293,0.9085122569722662
41,0,ATM+FDPS,GEARS+Witness,0.014489832093654502,0.6115074393779755,0.014489832093654502,0.8866012373813156
41,0,CHEK1+FDPS,GEARS+Witness,0.01621876845099605,0.6221898666865285,0.01621876845099605,0.8601834978208764
41,0,RAD17+FDPS,GEARS+Witness,0.008045404899828655,0.7123910253403929,0.008045404899828655,0.9326376703561738
41,0,FDPS+ATRIP,GEARS+Witness,0.011135309479195124,0.6876571880939687,0.011135309479195124,0.9148904310916118
41,0,FDPS+AHCYL1,GEARS+Witness,0.012803388103645369,0.6536283716302419,0.012803388103645369,0.8893888207172623
41,0,FDPS+RAD9A,GEARS+Witness,0.009712853804908755,0.7268293355137347,0.009712853804908755,0.9222263141239294
