candidate,comparator,pairs,relative_residual_mse_improvement,pair_bootstrap_ci95_low,pair_bootstrap_ci95_high,exact_pair_signflip_p_one_sided,pair_win_rate,run_win_rate,data_seed_min_improvement,data_seed_max_improvement,full_effect_cosine_delta
WitnessCell,Saturation,14,0.4248701224126814,0.4031002773812911,0.44914891254213957,6.103515625e-05,1.0,1.0,0.4179296061536419,0.42972982891547595,0.07071609340912059
GEARS+Witness,Saturation,14,0.43561486405718247,0.4176231261293422,0.4556153333635048,6.103515625e-05,1.0,1.0,0.4257524134327751,0.4419157907928117,0.07209517991138721
CPA+Witness,Saturation,14,0.4276404474714951,0.4060331373802239,0.45110054643758246,6.103515625e-05,1.0,1.0,0.4187729776315991,0.43242069717533227,0.07101768068779094
GEARS+Witness,WitnessCell,14,0.01868228736363947,0.004524688904287632,0.03233164370645851,0.02117919921875,0.7142857142857143,1.0,0.013439624076118347,0.021416477205730436,0.0013790865022666149
CPA+Witness,WitnessCell,14,0.0048168686183289065,-0.0011493714761065014,0.010810103358118,0.08697509765625,0.5714285714285714,1.0,0.0014489166377011531,0.008335423493727208,0.0003015872786703487
