candidate,comparator,pairs,relative_residual_mse_improvement,pair_bootstrap_ci95_low,pair_bootstrap_ci95_high,exact_pair_signflip_p_one_sided,pair_win_rate,run_win_rate,data_seed_min_improvement,data_seed_max_improvement,full_effect_cosine_delta
GEARS+Witness,GEARS,14,0.7235292982195499,0.7019394973190816,0.7434732947994206,6.103515625e-05,1.0,1.0,0.7131966499109647,0.7417846479865647,0.186052144673418
CPA+Witness,CPA,14,0.9398941112359848,0.9350057653418641,0.9446105368281322,6.103515625e-05,1.0,1.0,0.9388060771974363,0.9414743990910949,0.8202328837211141
WitnessCell,GEARS,14,0.7182658600569867,0.6939597144953935,0.7414418058846807,6.103515625e-05,1.0,1.0,0.7083269552387111,0.7361464263994524,0.18467305817115134
WitnessCell,CPA,14,0.9396031877262964,0.934545382674314,0.9444759145138377,6.103515625e-05,1.0,1.0,0.9387172836501133,0.9411969318171985,0.8199312964424438
