data_seed,model_seed,lambda_gears,lambda_cpa,gamma_witness,gears_archive_sha256,cpa_archive_sha256,anchor_sha256
41,0,0.9300149485928809,0.9833397842325203,0.6128773522928923,53f830904ab5f7f3bce706bbf6b39204a77cd0c83b309959855357dc9f3ea383,6b5a3381b7042ce8e1e52537f533b119d7137068a6f06ba8dc240a754963083c,a426fff7961522e2e2cf2bc22f2c87d8ca7d0f23e3e097bbf84ae2b3f06faf7f
41,1,0.9182294669986758,0.9891557038764786,0.6128773522928923,391d710899c62cc8c75d4f240e7dd8409e0baf720ad0dce03299cae55330cc4a,73cd471a77e4e57c2367d2a27a120c04cf71789df32dba2979963114ac89eff9,a426fff7961522e2e2cf2bc22f2c87d8ca7d0f23e3e097bbf84ae2b3f06faf7f
41,2,0.9138450698918583,0.9829144773402018,0.6128773522928923,b3d9d1673bd2ae25536d2226338f2f9ef6432f48a0d30c768472fcfdcf6940cf,ff002cec7d3bed7a30ca872ba625501a4ede22f730453532d92013a316457f29,a426fff7961522e2e2cf2bc22f2c87d8ca7d0f23e3e097bbf84ae2b3f06faf7f
47,0,0.9095620402038149,0.9746040677217483,0.694546476034692,a524db08ebe61fea35ffc109cfd90b4c3abf4b583de13f1b36e4944ab3fd64b3,e1b122874bd4feefcb9c2257ff080d8b46ad106f90c17768c397f946cde0b534,59abfca59afe1f7a0d5e56a75da088487d94df01af88a617fbc1a1cc35784624
47,1,0.9206971223720213,0.9801493109783963,0.694546476034692,ec28e3869963d66206d8f18352fb2bd9fa6d52c548fdb73b13196c84bc77432a,a6a7343b268569e07e1b82c2de99752b6bc651109751b773efcd74faed789546,59abfca59afe1f7a0d5e56a75da088487d94df01af88a617fbc1a1cc35784624
47,2,0.9134231954283587,0.9725438213665861,0.694546476034692,7885fbf9e1cb6d97ac199078837c24ed42a6f786ae9e6d1374d1f2ed048f1625,4d45a16b95a51d324dadc33ec72fd610daaffdb75eec9b32c1e44cd30620b1b0,59abfca59afe1f7a0d5e56a75da088487d94df01af88a617fbc1a1cc35784624
59,0,0.9106845242752868,0.9766837980481248,0.7133408814654223,b4e53df712c3e24a34963251398f116c8d333193984a796f69a6c89136d7f36a,5c56ff0475e44b34f8eb92ba5c86ad51bab9420e0d6c9053faa5310ea6589abb,3c8cd24529c9d1e26ec04dae83e9e3ea7b803e9c64b6d99bbd6c39e24b9c5a96
59,1,0.9126492191142969,0.9728961272387034,0.7133408814654223,fd6e7e78e17f651b8f6558f7e0263ef283aa94009d5fc30c6883ab59d3b06c02,51c9d68f724b34eeb7fe66cf7ce184e4f709d29f3bebaad051a671a5a2afe685,3c8cd24529c9d1e26ec04dae83e9e3ea7b803e9c64b6d99bbd6c39e24b9c5a96
59,2,0.9353686993414285,0.9789734869696151,0.7133408814654223,798ca06127610c1ba0f1ce3f90fed133aea40df4c5748bf76d5eaa576d83a0fb,e3b327a8c53901e6a5b7634c70035dfb555fce58c49b22a80c2654442c27742c,3c8cd24529c9d1e26ec04dae83e9e3ea7b803e9c64b6d99bbd6c39e24b9c5a96
