component_status,pair_type,n,cosine_mean,cosine_sd,nmse_mean,catastrophic_rate,null_risk_mean,degree_sum_mean
unwitnessed,cross,800,0.9978010254788005,0.0005428790840438373,0.004490428345475426,0.0,2.2926270057985657e-32,12.0
unwitnessed,within,800,0.19237163205561372,0.11883728276446806,0.9637116142535135,1.0,0.14285714285714285,12.0
witnessed,cross,800,0.9977260415430385,0.0005895239868583565,0.004636336543061251,0.0,0.0,12.0
witnessed,within,800,0.9995702886809015,0.00011412442553111864,0.0008732065219724436,0.0,0.0,12.0
