seed,rows,coverage,all_mse,accepted_mse,rejected_mse,accepted_over_all,risk_error_spearman
100,7,0.5714285714285714,0.07053214970032642,0.052380461728541,0.09473440032937368,0.7426466079807941,0.28571428571428575
101,9,0.6666666666666666,0.1145853975967952,0.08701062992236025,0.16973493294566513,0.7593518174849342,0.19999999999999998
102,8,0.5,0.11997956899315139,0.08043937724086017,0.1595197607454426,0.6704422920993471,0.7142857142857144
103,7,0.42857142857142855,0.2141620134821938,0.05432722723516561,0.33403810316746496,0.253673498636968,0.9285714285714288
104,9,0.3333333333333333,0.14085626151070146,0.09349183803999221,0.1645384732460561,0.6637393115313459,0.6833333333333333
105,6,0.5,0.3077239776749616,0.1176888927655716,0.4977590625843516,0.3824495369349553,0.7142857142857143
106,6,0.6666666666666666,0.1104441156334317,0.04626058729594107,0.238811172308413,0.4188596832943255,0.8285714285714287
107,9,0.4444444444444444,0.14417988426505202,0.03756213354609982,0.22947408484021375,0.26052270562964075,0.7333333333333334
109,7,0.2857142857142857,0.11143792460849557,0.0483382018243695,0.136677813722146,0.4337679653869325,0.8928571428571429
110,10,0.6,0.0784328287786317,0.06779710576035676,0.09438641330604408,0.8643970492471573,0.3939393939393939
111,4,0.25,0.17161125224466897,0.0469806640017943,0.2131547816589605,0.27376214197664145,0.7999999999999999
112,6,0.8333333333333334,0.060273534852617494,0.0505009419785797,0.1091364992228065,0.8378626224937029,0.028571428571428574
113,7,0.5714285714285714,0.06534486719205693,0.05862742053611518,0.0743014627333126,0.8972000870979152,0.14285714285714288
114,7,0.7142857142857143,0.07708378346456193,0.06059048287446227,0.11831703493981109,0.7860341066719668,0.5
115,7,0.42857142857142855,0.09608194693740615,0.054363121579701766,0.12737106595568445,0.5657995420837729,0.8214285714285715
116,10,0.1,0.1287209682071932,0.0395902377976171,0.13862438269714608,0.30756634563136165,0.6242424242424242
117,7,0.2857142857142857,0.22915986362935037,0.05295358048758465,0.29964237688605666,0.23107702914867007,0.642857142857143
118,10,0.7,0.09897157842205889,0.07171854699985403,0.16256198507387024,0.7246378015111995,0.5636363636363636
119,5,0.8,0.08569410008549556,0.0657225223197692,0.165580411148401,0.7669433747970857,0.7999999999999999
120,8,0.75,0.14024740802199248,0.07695177104787738,0.3301343189443378,0.5486858697296596,0.8333333333333335
121,4,0.75,0.09554972570023049,0.0723636222004895,0.1651080361994534,0.7573399260979243,0.7999999999999999
123,9,0.4444444444444444,0.14863384974520233,0.03427065869411385,0.2401244025860731,0.23057102236713112,0.8499999999999999
124,6,0.8333333333333334,0.07952014688673449,0.0598732777144648,0.177754492748083,0.7529321820763994,0.7142857142857143
125,10,0.3,0.11409272339169374,0.0653857651731765,0.13496713405677255,0.5730932107624381,0.8666666666666665
126,7,0.5714285714285714,0.08241413245360107,0.06663658523167842,0.10345086208283132,0.8085577466849467,0.4642857142857144
127,5,0.6,0.15499052022992837,0.045808009121429995,0.318764286892676,0.2955536187211568,0.8999999999999998
128,5,0.4,0.09333229036127685,0.06576038474134119,0.1117135607745673,0.7045834243089022,0.7
129,6,0.6666666666666666,0.07334393751444425,0.0644084356852406,0.09121494117285155,0.878169864722031,0.7714285714285715
