rows,pairs,accepted_rows,rejected_rows,row_coverage,pair_balanced_coverage,all_mse,accepted_mse,rejected_mse,accepted_over_all_mse,accepted_over_rejected_mse,score_loss_spearman,target_coverage,risk_threshold
33,18,6,27,0.18181818181818182,0.1666666666666667,0.09940872466924645,0.06712216959709798,0.10586603568367613,0.6752140701978365,0.6340293103791719,0.7209224598930483,0.3,0.0665848434170742
33,18,11,22,0.3333333333333333,0.36111111111111116,0.09940872466924645,0.06144064187006409,0.12086894538182778,0.6180608600954284,0.5083244639553335,0.7209224598930483,0.5,0.0900344316938921
33,18,17,16,0.5151515151515151,0.6388888888888891,0.09940872466924645,0.0640542107688164,0.1619590184930842,0.6443520021199156,0.39549641239367955,0.7209224598930483,0.7,0.1509887972479907
33,18,26,7,0.7878787878787878,0.888888888888889,0.09940872466924645,0.08723506789759117,0.19679797884248876,0.8775393526859984,0.4432721738845271,0.7209224598930483,0.9,0.2262924901372273
