DataSet,seed,perturb,subgroup,DEG,method,cor,mse
Norman,1,CEBPE+ETS2,combo_seen1,100,factorized_only,0.5141619089587629,0.17863406168087573
Norman,1,CEBPE+ETS2,combo_seen1,5000,WitnessCell,0.500704648202911,0.0060669723641434015
Norman,1,CEBPE+ETS2,combo_seen1,5000,factorized_only,0.500704648202911,0.0060669723641434015
Norman,1,CEBPE+KLF1,combo_seen1,100,WitnessCell,0.3745035505485967,0.06688985965459533
Norman,1,CEBPE+KLF1,combo_seen1,100,factorized_only,0.3745035505485967,0.06688985965459533
Norman,1,CEBPE+KLF1,combo_seen1,5000,WitnessCell,0.13565104297895703,0.005182025169265791
Norman,1,CEBPE+KLF1,combo_seen1,5000,factorized_only,0.13565104297895703,0.005182025169265791
Norman,1,CEBPE+PTPN12,combo_seen1,100,WitnessCell,0.8343504600894437,0.023214524465430503
Norman,1,CEBPE+PTPN12,combo_seen1,100,factorized_only,0.8343504600894437,0.023214524465430503
Norman,1,CEBPE+PTPN12,combo_seen1,5000,WitnessCell,0.6979479948393211,0.0017412431914940385
Norman,1,CEBPE+PTPN12,combo_seen1,5000,factorized_only,0.6979479948393211,0.0017412431914940385
Norman,1,CEBPE+RUNX1T1,combo_seen1,100,WitnessCell,0.530143779037015,0.06983076621184883
Norman,1,CEBPE+RUNX1T1,combo_seen1,100,factorized_only,0.530143779037015,0.06983076621184883
Norman,1,CEBPE+RUNX1T1,combo_seen1,5000,WitnessCell,0.5603454831454491,0.0027571748071165652
Norman,1,CEBPE+RUNX1T1,combo_seen1,5000,factorized_only,0.5603454831454491,0.0027571748071165652
Norman,1,CEBPE+SET,combo_seen1,100,WitnessCell,0.5592456099064912,0.07737140509106992
Norman,1,CEBPE+SET,combo_seen1,100,factorized_only,0.5592456099064912,0.07737140509106992
Norman,1,CEBPE+SET,combo_seen1,5000,WitnessCell,0.5351604420747379,0.0035348501254159792
Norman,1,CEBPE+SET,combo_seen1,5000,factorized_only,0.5351604420747379,0.0035348501254159792
Norman,1,CLDN6+KLF1,combo_seen1,100,WitnessCell,0.8795006291224357,0.06796992601409717
Norman,1,CLDN6+KLF1,combo_seen1,100,factorized_only,0.8795006291224357,0.06796992601409717
Norman,1,CLDN6+KLF1,combo_seen1,5000,WitnessCell,0.7529370674866798,0.0036200453963336223
Norman,1,CLDN6+KLF1,combo_seen1,5000,factorized_only,0.7529370674866798,0.0036200453963336223
Norman,1,CNN1+MAPK1,combo_seen1,100,WitnessCell,0.9500602795737925,0.00958161577153768
Norman,1,CNN1+MAPK1,combo_seen1,100,factorized_only,0.944211803866448,0.01689565380794302
Norman,1,CNN1+MAPK1,combo_seen1,5000,WitnessCell,0.8827769110674175,0.0008252349920769441
Norman,1,CNN1+MAPK1,combo_seen1,5000,factorized_only,0.8773758624757965,0.001384887181036978
Norman,1,CNN1+UBASH3A,combo_seen1,100,WitnessCell,0.7988190648897194,0.21030412530838885
Norman,1,CNN1+UBASH3A,combo_seen1,100,factorized_only,0.7988190648897194,0.21030412530838885
Norman,1,CNN1+UBASH3A,combo_seen1,5000,WitnessCell,0.6586134185129149,0.006477616479237609
Norman,1,CNN1+UBASH3A,combo_seen1,5000,factorized_only,0.6586134185129149,0.006477616479237609
Norman,1,CNN1+UBASH3B,combo_seen1,100,WitnessCell,0.9306060068184395,0.164125734723983
Norman,1,CNN1+UBASH3B,combo_seen1,100,factorized_only,0.9026712356115625,0.1784358107851089
Norman,1,CNN1+UBASH3B,combo_seen1,5000,WitnessCell,0.8618900170054399,0.004521532168026697
Norman,1,CNN1+UBASH3B,combo_seen1,5000,factorized_only,0.8104625101545111,0.004892264403120443
Norman,1,COL2A1+KLF1,combo_seen1,100,WitnessCell,0.8519713102178106,0.04403430810510057
Norman,1,COL2A1+KLF1,combo_seen1,100,factorized_only,0.8519713102178106,0.04403430810510057
Norman,1,COL2A1+KLF1,combo_seen1,5000,WitnessCell,0.6715320082960583,0.0034909978732455527
Norman,1,COL2A1+KLF1,combo_seen1,5000,factorized_only,0.6715320082960583,0.0034909978732455527
Norman,1,DLX2+SNAI1,combo_seen1,100,WitnessCell,0.6130577981644807,0.10487361559305518
Norman,1,DLX2+SNAI1,combo_seen1,100,factorized_only,0.6130577981644807,0.10487361559305518
Norman,1,DLX2+SNAI1,combo_seen1,5000,WitnessCell,0.6757029413453401,0.004796537733683656
Norman,1,DLX2+SNAI1,combo_seen1,5000,factorized_only,0.6757029413453401,0.004796537733683656
Norman,1,DLX2+ZBTB10,combo_seen1,100,WitnessCell,0.9171532599961695,0.08889121856627752
Norman,1,DLX2+ZBTB10,combo_seen1,100,factorized_only,0.9171532599961695,0.08889121856627752
Norman,1,DLX2+ZBTB10,combo_seen1,5000,WitnessCell,0.8342512104101325,0.00629840598887635
Norman,1,DLX2+ZBTB10,combo_seen1,5000,factorized_only,0.8342512104101325,0.00629840598887635
Norman,1,DUSP9+ETS2,combo_seen1,100,WitnessCell,0.8190767870480071,0.0529054569033506
Norman,1,DUSP9+ETS2,combo_seen1,100,factorized_only,0.8190767870480071,0.0529054569033506
Norman,1,DUSP9+ETS2,combo_seen1,5000,WitnessCell,0.6297522646452153,0.0024785585480159656
Norman,1,DUSP9+ETS2,combo_seen1,5000,factorized_only,0.6297522646452153,0.0024785585480159656
Norman,1,DUSP9+KLF1,combo_seen1,100,WitnessCell,0.7147109043917652,0.2178266399408467
Norman,1,DUSP9+KLF1,combo_seen1,100,factorized_only,0.7147109043917652,0.2178266399408467
Norman,1,DUSP9+KLF1,combo_seen1,5000,WitnessCell,0.5279569062909509,0.006427543446109121
Norman,1,DUSP9+KLF1,combo_seen1,5000,factorized_only,0.5279569062909509,0.006427543446109121
Norman,1,ETS2+IGDCC3,combo_seen1,100,WitnessCell,0.8961482762350247,0.017014495681641834
Norman,1,ETS2+IGDCC3,combo_seen1,100,factorized_only,0.8973958742862542,0.020392191531978507
Norman,1,ETS2+IGDCC3,combo_seen1,5000,WitnessCell,0.7724601052052568,0.0016879172137215278
Norman,1,ETS2+IGDCC3,combo_seen1,5000,factorized_only,0.7818223478588839,0.0019732707378843925
Norman,1,ETS2+IKZF3,combo_seen1,100,WitnessCell,0.9865039543840722,0.012387459967334142
Norman,1,ETS2+IKZF3,combo_seen1,100,factorized_only,0.9785047194563617,0.01885447304668691
Norman,1,ETS2+IKZF3,combo_seen1,5000,WitnessCell,0.9326216396647439,0.001470043093445841
Norman,1,ETS2+IKZF3,combo_seen1,5000,factorized_only,0.9246972366349526,0.001712760100434371
Norman,1,ETS2+MAP7D1,combo_seen1,100,WitnessCell,0.550138409301236,0.08148782961287317
Norman,1,ETS2+MAP7D1,combo_seen1,100,factorized_only,0.550138409301236,0.08148782961287317
Norman,1,ETS2+MAP7D1,combo_seen1,5000,WitnessCell,0.5189764299894738,0.0029388361336065935
Norman,1,ETS2+MAP7D1,combo_seen1,5000,factorized_only,0.5189764299894738,0.0029388361336065935
Norman,1,ETS2+MAPK1,combo_seen1,100,WitnessCell,0.9803343259411054,0.0737596298453131
Norman,1,ETS2+MAPK1,combo_seen1,100,factorized_only,0.9836158107688794,0.048567358771769244
Norman,1,ETS2+MAPK1,combo_seen1,5000,WitnessCell,0.9391480786066635,0.0024628960157440437
Norman,1,ETS2+MAPK1,combo_seen1,5000,factorized_only,0.9335392886387184,0.0018242783440937736
Norman,1,ETS2+PRTG,combo_seen1,100,WitnessCell,0.9201148770834507,0.015836109466651187
Norman,1,ETS2+PRTG,combo_seen1,100,factorized_only,0.9211763929053932,0.018911496017922646
Norman,1,ETS2+PRTG,combo_seen1,5000,WitnessCell,0.8365155576414242,0.0013310519732715386
Norman,1,ETS2+PRTG,combo_seen1,5000,factorized_only,0.8389704680551354,0.0016111455215134303
Norman,1,ETS2+TGFBR2,combo_seen1,100,WitnessCell,0.06461669904748199,0.05007512148648548
Norman,1,ETS2+TGFBR2,combo_seen1,100,factorized_only,-0.018505904378116125,0.05248153527578423
Norman,1,ETS2+TGFBR2,combo_seen1,5000,WitnessCell,0.1475957454876522,0.0024260776175218683
Norman,1,ETS2+TGFBR2,combo_seen1,5000,factorized_only,0.10732650027392185,0.002371066960689285
Norman,1,FEV+ISL2,combo_seen1,100,WitnessCell,0.6350491504114827,0.22525880614299626
Norman,1,FEV+ISL2,combo_seen1,100,factorized_only,0.6350491504114827,0.22525880614299626
Norman,1,FEV+ISL2,combo_seen1,5000,WitnessCell,0.5269222359722394,0.00864762781267763
Norman,1,FEV+ISL2,combo_seen1,5000,factorized_only,0.5269222359722394,0.00864762781267763
Norman,1,FEV+MAP7D1,combo_seen1,100,WitnessCell,0.6567569408272625,0.14942914063676896
Norman,1,FEV+MAP7D1,combo_seen1,100,factorized_only,0.6567569408272625,0.14942914063676896
Norman,1,FEV+MAP7D1,combo_seen1,5000,WitnessCell,0.5639473223373748,0.0053563216263585655
Norman,1,FEV+MAP7D1,combo_seen1,5000,factorized_only,0.5639473223373748,0.0053563216263585655
Norman,1,FOSB+PTPN12,combo_seen1,100,WitnessCell,0.6107402862088424,0.032997712241127984
Norman,1,FOSB+PTPN12,combo_seen1,100,factorized_only,0.665969886697807,0.02839090138886683
Norman,1,FOSB+PTPN12,combo_seen1,5000,WitnessCell,0.4661061075244804,0.0025311376418346997
Norman,1,FOSB+PTPN12,combo_seen1,5000,factorized_only,0.5086942335581629,0.002352700666834399
Norman,1,FOXA1+KLF1,combo_seen1,100,WitnessCell,0.655823859853725,0.06703032124690975
Norman,1,FOXA1+KLF1,combo_seen1,100,factorized_only,0.6251430429463475,0.07241843601589583
Norman,1,FOXA1+KLF1,combo_seen1,5000,WitnessCell,0.5689896609352386,0.0033820330799823233
Norman,1,FOXA1+KLF1,combo_seen1,5000,factorized_only,0.5408567406121196,0.0034700533376833547
Norman,1,IRF1+SET,combo_seen1,100,WitnessCell,0.8477074781350826,0.08128242206243845
Norman,1,IRF1+SET,combo_seen1,100,factorized_only,0.8477074781350826,0.08128242206243845
