target_coverage,risk_threshold,calibrated_loss_threshold,calibration_pair_balanced_coverage,calibration_selective_mse
0.3,0.0679396620493655,0.08742416516159952,0.30625,0.09378519491856643
0.5,0.0923227147328771,0.08742416516159952,0.5,0.08616289687799265
0.7,0.1542264173989734,0.16572960885434695,0.7,0.09113353569615286
0.9,0.2262924901372273,0.22268364037107935,0.903125,0.11300541083191781
