dataset,seed,condition,subgroup,correction_active,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
Wessels,1,DOT1L+GFI1,combo_seen1,False,0.006044414212064165,0.006044414212064165,0.0,0.22738867685908118,0.22738867685908118,0.0,0.6075732811852774,0.6075732811852774,0.0
Wessels,1,DOT1L+IKZF1,combo_seen1,False,0.002122444825057544,0.002122444825057544,0.0,0.010294010148224059,0.010294010148224059,0.0,0.8852765128939343,0.8852765128939343,0.0
Wessels,1,DOT1L+INTS1,combo_seen1,False,0.0035622074918696925,0.0035622074918696925,0.0,0.05094878490303376,0.05094878490303376,0.0,0.42437702509242964,0.42437702509242964,0.0
Wessels,1,EP300+GFI1,combo_seen1,False,0.002887226159670427,0.002887226159670427,0.0,0.03953738228862706,0.03953738228862706,0.0,0.8799923530755576,0.8799923530755576,0.0
Wessels,1,EP300+IKZF1,combo_seen1,False,0.002645716030884557,0.002645716030884557,0.0,0.01048506944273981,0.01048506944273981,0.0,0.9519789496593187,0.9519789496593187,0.0
Wessels,1,EP300+INTS1,combo_seen1,False,0.002221619915848571,0.002221619915848571,0.0,0.013252560291717173,0.013252560291717173,0.0,0.9559474475766315,0.9559474475766315,0.0
Wessels,1,FLI1+GFI1,combo_seen1,False,0.0035711410689964495,0.0035711410689964495,0.0,0.08290619763950076,0.08290619763950076,0.0,0.95571220680838,0.95571220680838,0.0
Wessels,1,FLI1+IKZF1,combo_seen1,False,0.0016592529597855682,0.0016592529597855682,0.0,0.013118888000029973,0.013118888000029973,0.0,0.9732000898353486,0.9732000898353486,0.0
Wessels,1,FLI1+INTS1,combo_seen1,False,0.0023347559926837785,0.0023347559926837785,0.0,0.026259785880298397,0.026259785880298397,0.0,0.9094559120185445,0.9094559120185445,0.0
Wessels,1,GATA2+GFI1,combo_seen1,False,0.006478104537012412,0.006478104537012412,0.0,0.2514217565308375,0.2514217565308375,0.0,0.6496948587281901,0.6496948587281901,0.0
