scope,condition_seed_units,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
all,187,0.0032470556308260277,0.0032470556308260277,0.0,0.0603591269642459,0.0603591269642459,0.0,0.8420870513161614,0.8420870513161614,0.0
Wessels,187,0.0032470556308260277,0.0032470556308260277,0.0,0.0603591269642459,0.0603591269642459,0.0,0.8420870513161614,0.8420870513161614,0.0
combo_seen0,12,0.005361038606464385,0.005361038606464385,0.0,0.11711363532055467,0.11711363532055467,0.0,0.7568188557190888,0.7568188557190888,0.0
combo_seen1,115,0.0035345714163914767,0.0035345714163914767,0.0,0.06719273833566795,0.06719273833566795,0.0,0.8452365503401678,0.8452365503401678,0.0
combo_seen2,54,0.002062381447371763,0.002062381447371763,0.0,0.031154141051875302,0.031154141051875302,0.0,0.9374653084501566,0.9374653084501566,0.0
unseen_single,6,0.004170438107299927,0.004170438107299927,0.0,0.07871743217737437,0.07871743217737437,0.0,0.09385373034422743,0.09385373034422743,0.0
