dataset,seed,condition,control,nir
Replogle_exp6,1,CHEK1+FDPS,control_negative,0.1951219512195122
Replogle_exp6,1,FDPS+HMGCR,control_negative,0.8536585365853658
Replogle_exp6,1,FDPS+HUS1,control_negative,0.4878048780487805
Replogle_exp6,1,FDPS+TOPBP1,control_negative,0.5853658536585366
Replogle_exp6,1,HMGCR+HUS1,control_negative,0.9512195121951219
Replogle_exp6,1,AHCYL1+FDPS,technical_duplicate,0.7560975609756098
Replogle_exp6,1,ATM+FDPS,technical_duplicate,0.24390243902439024
Replogle_exp6,1,ATR+FDPS,technical_duplicate,1.0
Replogle_exp6,1,ETAA1+FDPS,technical_duplicate,0.9024390243902439
Replogle_exp6,1,ETAA1+TOPBP1,technical_duplicate,0.7804878048780488
Replogle_exp6,1,FDPS+IDI1,technical_duplicate,0.975609756097561
Replogle_exp6,1,FDPS+LIG4,technical_duplicate,0.6341463414634146
Replogle_exp6,1,FDPS+MVD,technical_duplicate,1.0
Replogle_exp6,1,FDPS+NHEJ1,technical_duplicate,0.4634146341463415
Replogle_exp6,1,FDPS+PMVK,technical_duplicate,1.0
Replogle_exp6,1,FDPS+PRKDC,technical_duplicate,0.9512195121951219
Replogle_exp6,1,FDPS+RAD1,technical_duplicate,0.6097560975609756
Replogle_exp6,1,FDPS+RAD9A,technical_duplicate,0.975609756097561
Replogle_exp6,1,FDPS+RAD17,technical_duplicate,0.926829268292683
Replogle_exp6,1,FDPS+RRM1,technical_duplicate,1.0
Replogle_exp6,1,FDPS+RRM2B,technical_duplicate,0.8292682926829268
Replogle_exp6,1,FDPS+SQLE,technical_duplicate,1.0
Replogle_exp6,1,FDPS+SREBF1,technical_duplicate,1.0
Replogle_exp6,1,FDPS+SREBF2,technical_duplicate,1.0
Replogle_exp6,1,FDPS+XRCC5,technical_duplicate,1.0
Replogle_exp6,1,FDPS+XRCC6,technical_duplicate,1.0
Replogle_exp6,1,HMGCR+SREBF1,technical_duplicate,1.0
Replogle_exp6,1,HMGCR+SREBF2,technical_duplicate,1.0
Replogle_exp6,1,HUS1+IDI1,technical_duplicate,0.926829268292683
Replogle_exp6,1,HUS1+MVD,technical_duplicate,1.0
Replogle_exp6,1,HUS1+PMVK,technical_duplicate,1.0
Replogle_exp6,1,HUS1+RRM1,technical_duplicate,1.0
Replogle_exp6,1,HUS1+SQLE,technical_duplicate,0.975609756097561
Replogle_exp6,1,HUS1+SREBF1,technical_duplicate,0.8048780487804879
Replogle_exp6,1,HUS1+SREBF2,technical_duplicate,1.0
