dataset,seed,condition,evaluable,mean_negative__wmse,mean_negative__weighted_r2_deltapert,mean_negative__mse,mean_negative__r2_deltapert,mean_negative__pearson_deltactrl,control_negative__wmse,control_negative__weighted_r2_deltapert,control_negative__mse,control_negative__r2_deltapert,control_negative__pearson_deltactrl,technical_duplicate__wmse,technical_duplicate__weighted_r2_deltapert,technical_duplicate__mse,technical_duplicate__r2_deltapert,technical_duplicate__pearson_deltactrl,interpolated_duplicate__wmse,interpolated_duplicate__weighted_r2_deltapert,interpolated_duplicate__mse,interpolated_duplicate__r2_deltapert,interpolated_duplicate__pearson_deltactrl,drf__mean_negative__technical_duplicate__wmse,drf__mean_negative__interpolated_duplicate__wmse,drf__mean_negative__technical_duplicate__weighted_r2_deltapert,drf__mean_negative__interpolated_duplicate__weighted_r2_deltapert,drf__mean_negative__technical_duplicate__mse,drf__mean_negative__interpolated_duplicate__mse,drf__mean_negative__technical_duplicate__r2_deltapert,drf__mean_negative__interpolated_duplicate__r2_deltapert,drf__control_negative__technical_duplicate__pearson_deltactrl,drf__control_negative__interpolated_duplicate__pearson_deltactrl
Schmidt,1,CBY1+LCP2,True,0.07157563409143966,-0.005592292022322365,0.016041124470042707,-0.0005283118401131492,0.12849012462522638,0.07044629302949554,0.010274234084935108,0.016225443876000768,-0.012024811628952525,,0.09058793746785945,-0.27270310384542396,0.032946677603481585,-1.0549733770168883,0.016005932345436118,0.07152563633083019,-0.004889855175964408,0.016035631289994867,-0.00018568734579149648,0.1289600310104371,-0.26562164619436335,0.0006985207008421457,-0.26562509310888704,0.0006985297653938247,-1.0,0.00034242223080228803,-1.0,0.00034244323506276743,,
Schmidt,1,CBY1+PRKD2,True,0.07340948533701014,-0.11639270950827774,0.015566894809907106,-0.01619712056794298,0.06265189048197357,0.07261741762278603,-0.1043471459474219,0.015539649597334402,-0.01441857019526216,,0.0895166020998201,-0.3613456286392045,0.03212601412461512,-1.0971660339081946,0.0363976063309137,0.07336729082194647,-0.1157510260966308,0.015561736343699312,-0.015860379132292435,0.06325825339455463,-0.21941166427201786,0.0005747750456894904,-0.21941445660672682,0.000574782360543375,-1.0,0.0003313528431931428,-1.0,0.00033137380283909944,,
Schmidt,1,CBY1+TRIM21,True,0.09187205428364323,-0.0018815310641857597,0.019449404593789896,-3.785066780270796e-05,-0.05982361043218615,0.08837462167430685,0.03625861029607569,0.018426086499725332,0.052578506938565917,,0.08406193442415938,0.08328925240884244,0.02796215931340435,-0.4377415804664835,0.19910150856600334,0.08878111981246628,0.03182567385844515,0.019283462380469657,0.008494466789196187,-0.017812252657531873,0.0850099076424668,0.033643536674357065,0.08501074809894228,0.033643869293566366,-0.43766466031932305,0.008531555861476556,-0.4376867253771115,0.008531985983645747,,
Schmidt,1,EMP3+JMJD1C,True,0.08489789107554896,-0.0009625017557610693,0.01785578769274744,-0.0002883881999093951,-0.09559404815055689,0.07720777878556799,0.08970540458495369,0.016578404249222224,0.07127114464310702,,0.09471174724194764,-0.1166697577987652,0.030127811835496673,-0.6877721027765014,0.05402062926335078,0.08291526282133914,0.022413067557492283,0.017719412840949186,0.007351385695458124,-0.04519674155211057,-0.11559463312265914,0.023352816851818937,-0.11559587921042616,0.023353068590663842,-0.6872470207916248,0.007637143597425638,-0.6872848224589956,0.0076375636745640435,,
Schmidt,1,EMP3+LCP2,True,0.1576713938827578,-0.22874763320830493,0.018003816182466083,-0.04557463866416289,0.13745437334345398,0.15861263884298749,-0.23608284150874925,0.018667792109438176,-0.08413515177369257,,0.07367166585964578,0.4258699512299289,0.024256105166899963,-0.40867736807827404,0.24097901211775047,0.15699852055868582,-0.22350386968188363,0.017973306611272156,-0.043802790209724884,0.14156321738765987,0.532748479011314,0.004267540483797803,0.5327514242917242,0.004267564076738512,-0.3472564741051145,0.0016945227812788554,-0.34727542990387056,0.0016946152807287454,,
Schmidt,1,EMP3+MAP4K1,True,0.10349401883778596,-0.042515436359306324,0.022827560709473466,-0.011585728396857009,0.001308999853844629,0.10028122882499618,-0.010152375964830096,0.022017234823895362,0.024323237595342828,,0.10948101867397379,-0.10282365336351162,0.03738155145894729,-0.6565345917801306,0.06379262930497166,0.09535867332475743,0.039433485643055044,0.022522641463369828,0.0019265325756421259,0.0864759258245043,-0.05784819311518386,0.07860615519844048,-0.05784869657769108,0.07860683932096534,-0.63753431215811,0.01335691943019,-0.6375616101699714,0.013357491348184357,,
Schmidt,1,EMP3+PRKD2,True,0.07717635053279162,-0.005411687916616614,0.014036399063364827,-0.0006089709158723089,0.15110560386289437,0.07671335521224623,0.000619964312511212,0.014381094828671576,-0.025181204395814616,,0.06504125701419747,0.15267773680128016,0.025496891900115996,-0.8175900136891969,0.08072851611703426,0.07711010985250008,-0.004548740216694158,0.014033860775518426,-0.0004280246789911679,0.15146966970461923,0.1572364616667958,0.0008582917116777122,0.1572383426406569,0.0008583019791709893,-0.8164256629749215,0.00018082323049613692,-0.8164830118827724,0.00018083593222194096,,
Schmidt,1,EMP3+TBX21,True,0.19538061437601262,-0.14477737074267716,0.022260076176775778,-0.025038814043725877,0.3235332624359438,0.20660207068716874,-0.21052631565625335,0.024482069784250438,-0.12735785707534153,,0.08244271933468172,0.5169502369605585,0.02867472601722856,-0.3204225770078235,0.3582024948373853,0.11468864806690837,0.3280143508229916,0.02102633399596697,0.03177292423645983,0.38727439659499496,0.578037475030693,0.41299672216758465,0.578039928614251,0.41299847520611715,-0.2881554238220058,0.05542149764061854,-0.28816808763634744,0.05542393329686046,,
Schmidt,1,EMP3+TNFRSF1A,True,0.10721251098111395,-0.2674061641316716,0.015948297180948062,-0.04187990320313273,0.5825384446358332,0.1355274766359706,-0.6021298048685577,0.019735206547620326,-0.289273384753054,,0.05006974354921293,0.4081035783039999,0.019302194308971538,-0.2609853020712165,0.48401693283349834,0.10691347264761059,-0.26387110069807096,0.015919115328772927,-0.039973493699061,0.5842464399662185,0.5329810292470221,0.0027891851574195904,0.5329855799722247,0.0027892089721795205,-0.21028494798064273,0.0018296638305789613,-0.21029793155289786,0.0018297767990666772,,
Schmidt,1,EMP3+TNFRSF1B,True,0.11082056609511448,-0.17875959267374975,0.011801717938380711,-0.028266515075517473,0.5919659853743944,0.13366469379076923,-0.4217445873037693,0.015059863801868804,-0.31214402427790167,,0.031311948649242714,0.6669457562243055,0.013410875960876738,-0.16847011260572842,0.568082546632308,0.05867581630819094,0.37588586876662755,0.010985279613873971,0.04286856840113695,0.5912651677899671,0.7174471562478385,0.47052890176781503,0.7174530215501738,0.47053274845428156,-0.13633792071428572,0.06917375546625597,-0.1363493404923078,0.06917954951774409,,
Schmidt,1,EMP3+VAV1,True,0.1909871401486971,-0.025337906263865673,0.024559823049394545,-0.0008492083145550389,0.29737727041786827,0.20345043394044932,-0.09224862890015029,0.026474091870899857,-0.07885850140480222,,0.17045795194397426,0.08487556064672808,0.034832438160364694,-0.4194735070506186,0.1935028595149353,0.19086556294028645,-0.024685204096462465,0.02454865885450103,-0.0003942508175824866,0.29892350226714753,0.10748933514269263,0.0006365694137657208,0.10748979311844321,0.0006365721259729882,-0.4182520712074989,0.0004545529631097089,-0.4182686832238687,0.00045457101691441596,,
