dataset,seed,condition,evaluable,mean_negative__wmse,mean_negative__weighted_r2_deltapert,mean_negative__mse,mean_negative__r2_deltapert,mean_negative__pearson_deltactrl,control_negative__wmse,control_negative__weighted_r2_deltapert,control_negative__mse,control_negative__r2_deltapert,control_negative__pearson_deltactrl,technical_duplicate__wmse,technical_duplicate__weighted_r2_deltapert,technical_duplicate__mse,technical_duplicate__r2_deltapert,technical_duplicate__pearson_deltactrl,interpolated_duplicate__wmse,interpolated_duplicate__weighted_r2_deltapert,interpolated_duplicate__mse,interpolated_duplicate__r2_deltapert,interpolated_duplicate__pearson_deltactrl,drf__mean_negative__technical_duplicate__wmse,drf__mean_negative__interpolated_duplicate__wmse,drf__mean_negative__technical_duplicate__weighted_r2_deltapert,drf__mean_negative__interpolated_duplicate__weighted_r2_deltapert,drf__mean_negative__technical_duplicate__mse,drf__mean_negative__interpolated_duplicate__mse,drf__mean_negative__technical_duplicate__r2_deltapert,drf__mean_negative__interpolated_duplicate__r2_deltapert,drf__control_negative__technical_duplicate__pearson_deltactrl,drf__control_negative__interpolated_duplicate__pearson_deltactrl
Wessels,1,DOT1L+GFI1,True,0.16753180714020005,-0.07153161192083424,0.004971338085890314,-2.0379795224956254e-05,0.7248996205951812,0.24806800204200014,-0.5866402364513275,0.009542548057230078,-0.919552114045449,,0.00576641309177039,0.963118084734469,0.001973700089504325,0.6029760440735528,0.9005965870438614,0.011589759453647883,0.9258720248940591,0.002098209653506325,0.5779300505542608,0.883453774725038,0.9655744257484808,0.930814986918066,0.9655792881567883,0.9308196742859213,0.6028628674490567,0.5778224213146088,0.6029835322043352,0.5779380741518078,,
Wessels,1,DOT1L+IKZF1,True,0.010832483716716284,-4.914085424356784e-06,0.002741827642678153,-0.0011367601727838572,0.525187762022795,0.00870530048232137,0.1963668269837484,0.0032624694835784417,-0.19124122833701174,,0.006318052868113109,0.4167465116227418,0.0029514221682645694,-0.07766702087530453,0.5132867583205661,0.010742007477296967,0.008347434867352233,0.002720181006426553,0.006767180595862343,0.5275511253714861,0.4167109091267952,0.008351536937255936,0.4167489610192102,0.008352299556563523,-0.07641549265624435,0.00789208768162462,-0.07644328657557828,0.007894958199640856,,
Wessels,1,DOT1L+INTS1,True,0.05466058652619071,-0.0014544567701424427,0.003765013832448645,-2.7902786000177926e-05,0.21827333568394652,0.018388363585568272,0.6631007854872997,0.002355987753874475,0.37422447902023026,,0.0014177798238373441,0.9740243928297334,0.0005500935168361556,0.8538892842207534,0.8821352572493709,0.0018939247047216367,0.9653007869679232,0.0006545425720163963,0.8261464991346378,0.8525860021938224,0.9740442984918202,0.9653335216713168,0.9740611457108184,0.9653502182273882,0.8536666243528274,0.8259319797585115,0.8538925071343528,0.8261505238688427,,
Wessels,1,EP300+GFI1,True,0.031670722735311685,-0.041225118970390495,0.004357499067287291,-0.000849847113491009,0.7538815531066321,0.05175712495689188,-0.7015973724754585,0.008984293770820327,-1.0635527186804499,,0.005684977259774716,0.8130973778803903,0.0027127738756366794,0.3769179805298999,0.8613114649749916,0.01715325495211252,0.436059603769979,0.0034682906496221635,0.20338751361329133,0.8022785614315165,0.8204714878538873,0.45837316474778417,0.8204966061508061,0.45838719759770274,0.37736045511517813,0.20401711780531975,0.37744667822672495,0.2040637336880057,,
Wessels,1,EP300+IKZF1,True,0.04199494728074627,-0.05600569502792441,0.004971601890916957,-0.0007856735686169181,0.5349157621738854,0.037770593239267174,0.050219987214124684,0.006922139093623398,-0.3934296806838311,,0.013309381834793094,0.6653220464623251,0.004917486337864486,0.01010781134840788,0.634222559256103,0.04110692606211075,-0.033675497589750636,0.004916534576627175,0.010299401309120437,0.5417665926413403,0.683055563771139,0.021145402738484004,0.683071182111374,0.02114588623662399,0.010882743931566258,0.011074144984413349,0.01088492203656218,0.011076361396989896,,
Wessels,1,EP300+INTS1,True,0.05697716212307914,-0.12096077998747212,0.005799791322595658,-0.0013803527853570863,0.6287152512533256,0.06359929852203677,-0.2512437724419554,0.009369843935158613,-0.6177784860600242,,0.010072852247962564,0.8018281028426117,0.002425372223986406,0.5812400898237222,0.8613018045284003,0.02201764004679982,0.5668280054554193,0.0039209686147475,0.3230134126724169,0.7849242203427335,0.8231980135441729,0.6135600162174919,0.8232117270228402,0.6135702373818475,0.5817170297895345,0.32389075961578434,0.5818167484230777,0.3239462813597117,,
Wessels,1,FLI1+GFI1,True,0.12624729309527824,-0.032635538408216425,0.008175238060644643,-3.2762083104209694e-05,0.8066846687082784,0.21331368455647626,-0.7447921939647173,0.01577177982133271,-0.9292767281752066,,0.010231214308332081,0.9163141225698922,0.0032045846083958883,0.6080004553395912,0.9024855820383306,0.023183914035592015,0.8103679455963816,0.004496026588432468,0.45002532595672706,0.848860108317898,0.9189516621772467,0.8163546336575449,0.9189580512431712,0.8163603094115448,0.607938934187155,0.44998830084481345,0.6080126896477392,0.4500428936542553,,
Wessels,1,FLI1+IKZF1,True,0.06706679193755385,-0.01353588513109294,0.005358373836896721,-0.00016019664994382232,0.8253785989474274,0.13531025515651118,-1.0448540218691518,0.011803775618072668,-1.2032181596013043,,0.015156380200046875,0.7709516919231643,0.0035452595947680567,0.3382642493021967,0.8376069848593071,0.048051292511943594,0.27383272882454035,0.0048083086454349735,0.10251149569716733,0.8405592921381723,0.7739991169806252,0.2835265464429692,0.7740098940284645,0.2835304942241589,0.3383071040214141,0.10263609298437291,0.33836990185751925,0.10265514468168897,,
Wessels,1,FLI1+INTS1,True,0.07225824335479863,-0.011449726583408593,0.0034031926195231426,-0.0003197910933625536,0.662647350119158,0.07751692923476777,-0.0850592713015974,0.006071319197546727,-0.7845774337046056,,0.003022824709418804,0.9576873850802218,0.001160657534523241,0.6588413198228228,0.8997954915765594,0.005167969913769069,0.9276602708066543,0.0012097379721381265,0.6444148272346446,0.8967449519798072,0.9581531085985555,0.9284663155357299,0.9581654214014855,0.9284782468467779,0.6587568142116572,0.6443391701178983,0.6589497257132029,0.6445278595312456,,
Wessels,1,GATA2+GFI1,True,0.3008731312269535,-0.051128800074752956,0.006585622237544068,-0.004839022926283354,0.655676563458801,0.4084102807911819,-0.42682002422611265,0.01088961583564983,-0.6615454913213485,,0.013946929056885824,0.9512750814786655,0.0021948785958628256,0.6651038301080725,0.8937472571224663,0.02282317067627286,0.9202650901095057,0.0025296788295157647,0.6140197673536971,0.8839173703287206,0.9536419797873394,0.9241404683639742,0.9536442421118028,0.9241426607020146,0.6666153733022351,0.6157850354479459,0.6667159326350837,0.6158779269935399,,
