query_id,seed,pair,estimated_witness_risk,geometry_risk,selected_rho,selected_length_factor,selected_noise_ratio
118::CEBPB+LYL1,118,CEBPB+LYL1,0.0793034911759551,0.1358227201072367,0.9,4.0,0.03
118::ETS2+PRTG,118,ETS2+PRTG,0.0503964831767514,0.0913033727955017,0.9,4.0,0.03
118::FOSB+UBASH3B,118,FOSB+UBASH3B,0.0498112734959079,0.0855137531454177,0.9,4.0,0.03
118::DUSP9+ETS2,118,DUSP9+ETS2,0.3071774975445958,0.0943548700426818,0.9,4.0,0.03
118::PTPN9+UBASH3B,118,PTPN9+UBASH3B,0.0451047057839,0.0984412190037591,0.9,4.0,0.03
118::ELMSAN1+MAP2K3,118,ELMSAN1+MAP2K3,0.0792115155535487,0.1229599098183001,0.9,4.0,0.03
118::CEBPE+SPI1,118,CEBPE+SPI1,0.2850210368446547,0.1160234935744551,0.9,4.0,0.03
118::TBX2+TBX3,118,TBX2+TBX3,0.1240039598477124,0.1945759874714699,0.9,4.0,0.03
118::FOXF1+HOXB9,118,FOXF1+HOXB9,0.0540406277228853,0.1141638077131223,0.9,4.0,0.03
118::SNAI1+UBASH3B,118,SNAI1+UBASH3B,0.065152076977094,0.0995528505299999,0.9,4.0,0.03
119::ETS2+PRTG,119,ETS2+PRTG,0.0664453257924788,0.1285496465117301,0.75,1.0,0.1
119::FOXA3+HOXB9,119,FOXA3+HOXB9,0.0900651940440261,0.1558751090085213,0.75,1.0,0.1
119::PTPN12+PTPN9,119,PTPN12+PTPN9,0.0647067868976801,0.1426712099033383,0.75,1.0,0.1
119::IKZF3+MAPK1,119,IKZF3+MAPK1,0.1583774627878577,0.1405174533276922,0.75,1.0,0.1
119::FOXA1+HOXB9,119,FOXA1+HOXB9,0.0856396373150149,0.1518746938144425,0.75,1.0,0.1
120::CEBPB+LYL1,120,CEBPB+LYL1,0.0875252290517041,0.1325267582524786,0.75,4.0,0.03
120::ETS2+PRTG,120,ETS2+PRTG,0.0365361873518415,0.0875462534152236,0.75,4.0,0.03
120::SAMD1+UBASH3B,120,SAMD1+UBASH3B,0.0342499023900663,0.0898791377374648,0.75,4.0,0.03
120::DUSP9+SNAI1,120,DUSP9+SNAI1,0.1885099604707498,0.0926723931593131,0.75,4.0,0.03
120::PTPN9+UBASH3B,120,PTPN9+UBASH3B,0.0360805215487853,0.0971956956667683,0.75,4.0,0.03
120::IKZF3+MAPK1,120,IKZF3+MAPK1,0.0916844905868695,0.0918050041743172,0.75,4.0,0.03
120::CEBPE+KLF1,120,CEBPE+KLF1,0.0819265124691064,0.0780058782083248,0.75,4.0,0.03
120::ETS2+MAP7D1,120,ETS2+MAP7D1,0.102773233812805,0.1171685044288093,0.75,4.0,0.03
121::CEBPB+LYL1,121,CEBPB+LYL1,0.0864596113003961,0.1405263058854757,0.75,4.0,0.1
121::SAMD1+UBASH3B,121,SAMD1+UBASH3B,0.0572043079447823,0.1233147873971629,0.75,4.0,0.1
121::PTPN12+PTPN9,121,PTPN12+PTPN9,0.0667026472473918,0.1299597678453094,0.75,4.0,0.1
121::DLX2+ZBTB10,121,DLX2+ZBTB10,0.1426647498518766,0.1477988814809715,0.75,4.0,0.1
122::ETS2+PRTG,122,ETS2+PRTG,0.111348354951193,0.1312617719857469,0.75,4.0,0.3
122::DUSP9+ETS2,122,DUSP9+ETS2,0.1284311780686955,0.1306767725139905,0.75,4.0,0.3
122::FOXA3+FOXF1,122,FOXA3+FOXF1,0.1173525526164736,0.1568175332019424,0.75,4.0,0.3
122::BAK1+KLF1,122,BAK1+KLF1,0.1122768228320388,0.1372033592314459,0.75,4.0,0.3
122::FOXA1+HOXB9,122,FOXA1+HOXB9,0.1110083557363143,0.1440948472803241,0.75,4.0,0.3
122::SNAI1+UBASH3B,122,SNAI1+UBASH3B,0.1043507660216805,0.1256094512362714,0.75,4.0,0.3
122::CNN1+UBASH3B,122,CNN1+UBASH3B,0.1016014622632998,0.1307439505684123,0.75,4.0,0.3
123::ETS2+PRTG,123,ETS2+PRTG,0.0876342820431139,0.1180487404459395,0.5,2.0,0.3
123::CEBPA+CEBPB,123,CEBPA+CEBPB,0.126785935551976,0.1256022938720883,0.5,2.0,0.3
123::DUSP9+ETS2,123,DUSP9+ETS2,0.1511703174719288,0.1201648822061374,0.5,2.0,0.3
123::DUSP9+SNAI1,123,DUSP9+SNAI1,0.146699147607162,0.1278805430427832,0.5,2.0,0.3
123::PTPN9+UBASH3B,123,PTPN9+UBASH3B,0.0911903008069932,0.129893841441732,0.5,2.0,0.3
123::FOXA3+HOXB9,123,FOXA3+HOXB9,0.0930427115125373,0.1315836157304105,0.5,2.0,0.3
123::CDKN1A+CDKN1C,123,CDKN1A+CDKN1C,0.1591296104604624,0.1602343083095991,0.5,2.0,0.3
123::KLF1+TGFBR2,123,KLF1+TGFBR2,0.0806004159440839,0.1126868598958494,0.5,2.0,0.3
123::SNAI1+UBASH3B,123,SNAI1+UBASH3B,0.0872731647865853,0.1185997257815545,0.5,2.0,0.3
124::FOSB+UBASH3B,124,FOSB+UBASH3B,0.059507356679959,0.129631724968847,0.75,1.0,0.1
124::DUSP9+ETS2,124,DUSP9+ETS2,0.2359557927861615,0.1310335663836616,0.75,1.0,0.1
124::SAMD1+UBASH3B,124,SAMD1+UBASH3B,0.0507420890096287,0.1353239515851058,0.75,1.0,0.1
124::FOXA3+FOXF1,124,FOXA3+FOXF1,0.0682664666082739,0.163349484043754,0.75,1.0,0.1
124::KLF1+TGFBR2,124,KLF1+TGFBR2,0.0593933730803565,0.1230201011703851,0.75,1.0,0.1
124::FOXF1+HOXB9,124,FOXF1+HOXB9,0.0651339219243714,0.1573273410284237,0.75,1.0,0.1
125::DUSP9+PRTG,125,DUSP9+PRTG,0.2602827975249763,0.1396465361495764,0.75,2.0,0.1
125::DUSP9+ETS2,125,DUSP9+ETS2,0.1076297060626706,0.1374943370891889,0.75,2.0,0.1
125::CEBPB+CEBPE,125,CEBPB+CEBPE,0.1191809336244051,0.1247252811325766,0.75,2.0,0.1
125::CEBPE+SPI1,125,CEBPE+SPI1,0.235512540412132,0.146318161387703,0.75,2.0,0.1
