condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
DOT1L,0.0017996100604379998,0.0018091225440362284,-0.005285858201922623,0.005038132551967473,0.005038132551967473,0.0,0.8688872233102098,0.8688872233102098,0.0
EP300,0.005104908584331201,0.005110129848124713,-0.0010227928095595498,0.09783770838989342,0.09783770838989342,0.0,0.9040031331261894,0.9040031331261894,0.0
GSE1,0.0036082745898670535,0.00360428142428751,0.0011066689854362143,0.09552852680824772,0.09552852680824772,0.0,0.4540628329564664,0.4540628329564664,0.0
HDAC3,0.0031317726364194897,0.003127756521045583,0.001282377694728852,0.0333869577067383,0.0331853487149682,0.00603855534071057,0.7246089386355552,0.7184272028417633,-0.006181735793791887
INTS1,0.0035312876230373705,0.003532226224197107,-0.0002657957266389592,0.05914437922332358,0.05919149700154234,-0.0007966569070045912,-0.2991860019431868,-0.2697314193093421,0.029454582633844706
MED24,0.0064934609888558335,0.006490584870074916,0.0004429253961567144,0.1461289140630072,0.1461289140630072,0.0,0.9048485430257531,0.9048485430257531,0.0
RCOR1,0.0022826677245972545,0.002280105186810041,0.0011226065710748803,0.006558628891700201,0.006558628891700201,0.0,0.18984408599502137,0.18984408599502137,0.0
SMARCA5,0.003608914849053177,0.0035952988840398494,0.0037728695696159125,0.04562724349309548,0.044943722049426454,0.014980555285406582,0.33008331195735957,0.3436193911830939,0.013536079225734354
SMARCD1,0.002809660580443385,0.0028099635624751875,-0.00010783581259292882,0.03171489764239912,0.03171489764239912,0.0,0.7420472452937429,0.7420472452937429,0.0
SUPT16H,0.0029008690597674648,0.0028625043895009563,0.013225233361475403,0.05724310303216006,0.05531719658478131,0.033644340459613904,0.9460358319101001,0.9318194525545841,-0.014216379355516007
