DataSet,seed,perturb,subgroup,DEG,method,cor,mse
Norman,1,CEBPE+ETS2,combo_seen1,100,factorized_only,0.33283781813188434,0.21392250385502226
Norman,1,CEBPE+ETS2,combo_seen1,5000,WitnessCell,0.4038620262865032,0.006834852620492242
Norman,1,CEBPE+ETS2,combo_seen1,5000,factorized_only,0.4038620262865032,0.006834852620492242
Norman,1,CEBPE+KLF1,combo_seen1,100,WitnessCell,0.30035034823665424,0.07174243376671344
Norman,1,CEBPE+KLF1,combo_seen1,100,factorized_only,0.30035034823665424,0.07174243376671344
Norman,1,CEBPE+KLF1,combo_seen1,5000,WitnessCell,0.0976700917154597,0.004631014214849116
Norman,1,CEBPE+KLF1,combo_seen1,5000,factorized_only,0.0976700917154597,0.004631014214849116
Norman,1,CEBPE+PTPN12,combo_seen1,100,WitnessCell,0.7409126969009678,0.03395322746386432
Norman,1,CEBPE+PTPN12,combo_seen1,100,factorized_only,0.7409126969009678,0.03395322746386432
Norman,1,CEBPE+PTPN12,combo_seen1,5000,WitnessCell,0.6320130577758363,0.0019630083482191692
Norman,1,CEBPE+PTPN12,combo_seen1,5000,factorized_only,0.6320130577758363,0.0019630083482191692
Norman,1,CEBPE+RUNX1T1,combo_seen1,100,WitnessCell,0.3116741760888198,0.09410502278251012
Norman,1,CEBPE+RUNX1T1,combo_seen1,100,factorized_only,0.3116741760888198,0.09410502278251012
Norman,1,CEBPE+RUNX1T1,combo_seen1,5000,WitnessCell,0.44279246228033053,0.0033369668488803703
Norman,1,CEBPE+RUNX1T1,combo_seen1,5000,factorized_only,0.44279246228033053,0.0033369668488803703
Norman,1,CEBPE+SET,combo_seen1,100,WitnessCell,0.43988157417414225,0.09160542713243106
Norman,1,CEBPE+SET,combo_seen1,100,factorized_only,0.43988157417414225,0.09160542713243106
Norman,1,CEBPE+SET,combo_seen1,5000,WitnessCell,0.49459742184604916,0.003544116695974148
Norman,1,CEBPE+SET,combo_seen1,5000,factorized_only,0.49459742184604916,0.003544116695974148
