DataSet,seed,DEG,method,conditions,mean_cor,published_best_mean_cor,mean_mse,published_best_mean_mse,witness_vs_factorized_cor,witness_vs_factorized_mse_gain
Norman,1,100,WitnessCell,93,0.7318149745557496,0.7500548387096774,0.06887699115558563,0.06676451612903227,0.004288722384079513,0.01710652695741937
Norman,1,100,factorized_only,93,0.7275262521716701,0.7500548387096774,0.07007574375519508,0.06676451612903227,0.004288722384079513,0.01710652695741937
Norman,1,5000,WitnessCell,93,0.6442740879979805,0.6517376344086022,0.0030701606961707952,0.0033591397849462366,0.005685797184990182,0.02399810467727385
Norman,1,5000,factorized_only,93,0.6385882908129903,0.6517376344086022,0.003145650342364972,0.0033591397849462366,0.005685797184990182,0.02399810467727385
Norman,2,100,WitnessCell,86,0.8272988290399004,0.8340337209302325,0.050760373775885166,0.04653023255813953,0.0035110697628960574,0.007265968872546571
Norman,2,100,factorized_only,86,0.8237877592770043,0.8340337209302325,0.0511318965445723,0.04653023255813953,0.0035110697628960574,0.007265968872546571
Norman,2,5000,WitnessCell,86,0.7358735583538462,0.7191255813953489,0.0024416107507548345,0.002666279069767442,0.005207783638972119,0.04123297619488893
Norman,2,5000,factorized_only,86,0.730665774714874,0.7191255813953489,0.0025466152778854246,0.002666279069767442,0.005207783638972119,0.04123297619488893
Norman,3,100,WitnessCell,89,0.744669467181818,0.7814865168539327,0.066805637186786,0.06192247191011236,0.007579985388807997,0.03941130660206961
Norman,3,100,factorized_only,89,0.73708948179301,0.7814865168539327,0.06954655790343695,0.06192247191011236,0.007579985388807997,0.03941130660206961
Norman,3,5000,WitnessCell,89,0.6653904398596895,0.6787033707865169,0.0028877148924859927,0.002965168539325843,0.007308188795689063,0.060562500764698185
Norman,3,5000,factorized_only,89,0.6580822510640004,0.6787033707865169,0.003073876542970214,0.002965168539325843,0.007308188795689063,0.060562500764698185
Replogle_exp6,1,100,WitnessCell,42,0.6949384580434835,0.7151238095238095,0.018789663759574398,0.01342142857142857,0.0,0.0
Replogle_exp6,1,100,factorized_only,42,0.6949384580434835,0.7151238095238095,0.018789663759574398,0.01342142857142857,0.0,0.0
Replogle_exp6,1,5000,WitnessCell,42,0.542347351097237,0.5322833333333333,0.001448846857560866,0.0014476190476190476,0.0,0.0
Replogle_exp6,1,5000,factorized_only,42,0.542347351097237,0.5322833333333333,0.001448846857560866,0.0014476190476190476,0.0,0.0
Replogle_exp6,2,100,WitnessCell,36,0.6766001830920191,0.6942916666666666,0.022593109082844114,0.014772222222222223,-0.000775821746279326,0.0010719120121165469
Replogle_exp6,2,100,factorized_only,36,0.6773760048382984,0.6942916666666666,0.022617352895094645,0.014772222222222223,-0.000775821746279326,0.0010719120121165469
Replogle_exp6,2,5000,WitnessCell,36,0.48515823643119205,0.4850583333333333,0.0013940848497321298,0.0013666666666666666,0.0006143577642152565,0.004470626517366015
Replogle_exp6,2,5000,factorized_only,36,0.4845438786669768,0.4850583333333333,0.0014003452704315893,0.0013666666666666666,0.0006143577642152565,0.004470626517366015
Replogle_exp6,3,100,WitnessCell,34,0.6144659315470914,0.6764,0.021290268118520462,0.01603235294117647,0.0005451981637744074,0.0040856424407936815
Replogle_exp6,3,100,factorized_only,34,0.613920733383317,0.6764,0.021377609386713528,0.01603235294117647,0.0005451981637744074,0.0040856424407936815
Replogle_exp6,3,5000,WitnessCell,34,0.5040444730676056,0.4980882352941176,0.0013971442365572277,0.0015352941176470587,0.0059332984152764,0.01831536689254989
Replogle_exp6,3,5000,factorized_only,34,0.4981111746523292,0.4980882352941176,0.001423210865728509,0.0015352941176470587,0.0059332984152764,0.01831536689254989
Schmidt,1,100,WitnessCell,31,0.26708946338713385,0.6249903225806451,0.03662823979473421,0.02560322580645161,-4.032526379726953e-05,0.00024973603881472094
Schmidt,1,100,factorized_only,31,0.2671297886509311,0.6249903225806451,0.03663738947125327,0.02560322580645161,-4.032526379726953e-05,0.00024973603881472094
Schmidt,1,5000,WitnessCell,31,0.34463676655516085,0.38865483870967743,0.006734739369220452,0.006861290322580645,0.0020097294170142166,0.0036346600256744683
Schmidt,1,5000,factorized_only,31,0.34262703713814663,0.38865483870967743,0.006759307152729734,0.006861290322580645,0.0020097294170142166,0.0036346600256744683
Schmidt,2,100,WitnessCell,28,0.30779332492578987,0.5951642857142857,0.04804702866083771,0.024325000000000003,0.003906914274689366,0.0012947648432762476
Schmidt,2,100,factorized_only,28,0.3038864106511005,0.5951642857142857,0.0481093189156036,0.024325000000000003,0.003906914274689366,0.0012947648432762476
Schmidt,2,5000,WitnessCell,28,0.3407823348719695,0.4164857142857143,0.007694439673585671,0.007814285714285715,0.002221591135968093,-0.0008738319762616101
Schmidt,2,5000,factorized_only,28,0.3385607437360014,0.4164857142857143,0.007687721896368018,0.007814285714285715,0.002221591135968093,-0.0008738319762616101
Schmidt,3,100,WitnessCell,28,0.2502141552294224,0.6262035714285714,0.04154723973551928,0.023703571428571428,0.0004841927373648025,0.00015516191544826826
Schmidt,3,100,factorized_only,28,0.24972996249205762,0.6262035714285714,0.04155368728523239,0.023703571428571428,0.0004841927373648025,0.00015516191544826826
Schmidt,3,5000,WitnessCell,28,0.350880293132125,0.4453357142857143,0.006917842970520614,0.006657142857142857,0.0002026118956210965,0.00037223810324357807
Schmidt,3,5000,factorized_only,28,0.3506776812365039,0.4453357142857143,0.006920419014168099,0.006657142857142857,0.0002026118956210965,0.00037223810324357807
Wessels,1,100,WitnessCell,65,0.7997747075430846,0.8361092307692307,0.07600773148669182,0.05099076923076923,0.05775739472668773,0.28837556526521885
Wessels,1,100,factorized_only,65,0.7420173128163968,0.8361092307692307,0.1068087712797826,0.05099076923076923,0.05775739472668773,0.28837556526521885
Wessels,1,5000,WitnessCell,65,0.6915020865937505,0.7242061538461538,0.003833033426375049,0.0030476923076923077,0.08485989486552603,0.30982123847002924
Wessels,1,5000,factorized_only,65,0.6066421917282244,0.7242061538461538,0.005553682089373596,0.0030476923076923077,0.08485989486552603,0.30982123847002924
Wessels,2,100,WitnessCell,55,0.9149732688936346,0.89912,0.022523280432562652,0.019078181818181817,0.02904014429840307,0.5359795529377795
Wessels,2,100,factorized_only,55,0.8859331245952315,0.89912,0.04853941367273953,0.019078181818181817,0.02904014429840307,0.5359795529377795
Wessels,2,5000,WitnessCell,55,0.8037366071455088,0.7941109090909091,0.0022221389639216333,0.0021436363636363636,0.08604982654361093,0.40711918206963205
Wessels,2,5000,factorized_only,55,0.7176867806018978,0.7941109090909091,0.003748036530644877,0.0021436363636363636,0.08604982654361093,0.40711918206963205
Wessels,3,100,WitnessCell,67,0.8233043706402682,0.8384044776119403,0.07623692186285055,0.07808208955223882,0.011805285750890682,0.015310550959569952
Wessels,3,100,factorized_only,67,0.8114990848893775,0.8384044776119403,0.0774222999313567,0.07808208955223882,0.011805285750890682,0.015310550959569952
Wessels,3,5000,WitnessCell,67,0.7199267625361663,0.7223179104477612,0.0035561062064218877,0.0035492537313432837,0.04640051734141215,0.24788320809188333
Wessels,3,5000,factorized_only,67,0.6735262451947541,0.7223179104477612,0.00472813031789925,0.0035492537313432837,0.04640051734141215,0.24788320809188333
