dataset,seed,method,operations,wmse,weighted_r2_deltapert,mse,r2_deltapert,pearson_deltactrl,nir
Norman,1,WitnessCell_v13,93,0.06867793884355951,0.3838801527018348,0.0033128668427931302,0.1943413947907863,0.6371734129470219,0.7480130902290789
Norman,1,WitnessCell_v14,93,0.06785134385996539,0.38878011070119584,0.003307241100985459,0.19510839523674223,0.6387192273475142,0.7505843852267414
Norman,1,baseControl,93,0.14740109423939357,-0.20684501892839144,0.006513999039626303,-0.3237408647386805,,0.5
Norman,1,trainMean,93,0.07992418165281634,0.27268614583826734,0.0036050029865886597,0.12313806578515134,0.6217626613587095,0.7376110331930809
Norman,2,WitnessCell_v13,86,0.03996263194111472,0.5511246732072645,0.002556098904656863,0.33907294708381946,0.7365606686956316,0.8213406292749659
Norman,2,WitnessCell_v14,86,0.03996255686452053,0.5519972089740023,0.002553550545826115,0.33970428652995827,0.7369361393685192,0.8221614227086183
Norman,2,baseControl,86,0.1439636600170843,-0.2147363307989108,0.006590645485853162,-0.4042482063175253,,0.5
Norman,2,trainMean,86,0.05378976816078484,0.39330441619656403,0.0029260302560415044,0.22896725702527418,0.7005056320608491,0.7965800273597811
Norman,3,WitnessCell_v13,89,0.07163478571006246,0.43177449179392047,0.0030320068909816733,0.21561601607811307,0.6649794109528065,0.7852400408580185
Norman,3,WitnessCell_v14,89,0.07230865295188847,0.42787381864161617,0.0030323731714682407,0.21563228304229742,0.6647154901949557,0.7848569969356487
Norman,3,baseControl,89,0.16239310105223845,-0.23222355771303957,0.006562829279691307,-0.38977738429130027,,0.5
Norman,3,trainMean,89,0.0846377294348984,0.27365354074798415,0.0035580931395300147,0.04624745181897037,0.6375202471740069,0.7614913176710929
Replogle_exp6,1,WitnessCell_v13,42,0.011360040152644956,0.4631939347971192,0.0015145080470157525,-0.09099658794865205,0.5356417465934976,0.7590011614401858
Replogle_exp6,1,WitnessCell_v14,42,0.01041480255456639,0.5051525370884262,0.0014992012871020402,-0.07892097023188047,0.5379956400949444,0.7607433217189316
Replogle_exp6,1,baseControl,42,0.03534115750485106,-0.14762596558560173,0.001922404372432528,-0.1596208849987871,,0.5
Replogle_exp6,1,trainMean,42,0.016143455917991805,0.22908841976003314,0.0016854204430201403,-0.2220619565414411,0.5082094995701385,0.7253193960511034
Replogle_exp6,2,WitnessCell_v13,36,0.01716424813700311,0.41829587500357557,0.0015376111918648237,0.01979867604090023,0.4984304714770373,0.6658730158730158
Replogle_exp6,2,WitnessCell_v14,36,0.01703759010296559,0.4187777021148172,0.0015363072666240989,0.018629816407596922,0.49442384074375667,0.6587301587301587
Replogle_exp6,2,baseControl,36,0.03855398655953721,-0.16294378050230893,0.0020628971777346965,-0.20284667929357447,,0.5
Replogle_exp6,2,trainMean,36,0.02320387299225206,0.13406065765118408,0.0017628049792270954,-0.146482128187034,0.45070799946997503,0.646031746031746
Replogle_exp6,3,WitnessCell_v13,34,0.01690179985375793,0.41336685631310705,0.001562391841681764,0.05212076202961275,0.5085924279034453,0.6746880570409982
Replogle_exp6,3,WitnessCell_v14,34,0.01637369552862134,0.4305168871031867,0.0015571659566276253,0.056034543654562174,0.5090209396374703,0.6720142602495544
Replogle_exp6,3,baseControl,34,0.04016228376402659,-0.14704543840975054,0.002140333493791118,-0.2374810022722188,,0.5
