seed,strategy,subset_id,exact_target_risk,empirical_target_mse,mc_relative_error,regret_to_global_optimum,relative_regret,gain_vs_random_average
0,exact,15,0.19252845698561374,0.19172713288792143,0.004162107307348314,0.0,0.0,0.13933841257948446
0,pure_geometry,20,0.20836981045083874,0.205826417907435,0.012206147032052004,0.015841353465225,0.08228058185917275,0.12349705911425946
0,adequacy_only,12,0.22627490625138993,0.2243923590806974,0.008319734617859172,0.03374644926577619,0.17528031852609627,0.10559196331370826
1,exact,101,0.5216168169728952,0.5223501487689033,0.0014058821957924003,0.0,0.0,0.2344618428505404
1,pure_geometry,56,0.6934845773061755,0.704203859976877,0.015457132027853072,0.17186776033328033,0.3294904511144454,0.06259408251726006
1,adequacy_only,11,0.7699135371889972,0.7698396655957634,9.59479079995247e-05,0.24829672021610205,0.4760136409271565,-0.01383487736556166
2,exact,23,0.2637397725702924,0.2640237758902343,0.0010768315949244642,0.0,0.0,0.07249941010296568
2,pure_geometry,23,0.2637397725702924,0.2638996334473075,0.000606131094514677,0.0,0.0,0.07249941010296568
2,adequacy_only,106,0.34300927092852174,0.34167335644253827,0.003894689150433648,0.07926949835822933,0.3005595158655954,-0.006770088255263651
3,exact,19,0.3317981292843225,0.3325329969986432,0.0022148036696462733,0.0,0.0,0.33873773971348653
3,pure_geometry,115,0.4163007626357331,0.42046304513663346,0.009998258169280301,0.08450263335141062,0.2546808613227567,0.2542351063620759
3,adequacy_only,96,1.3998927438015376,1.4125175647265695,0.009018420147495055,1.0680946145172152,3.2191098148173998,-0.7293568748037286
4,exact,8,1.17579089886746,1.170733428966269,0.004301334451612417,0.0,0.0,0.19758585061047507
4,pure_geometry,67,1.1821654126287915,1.1649549081565411,0.014558457123169605,0.006374513761331579,0.005421468874671209,0.1912113368491435
4,adequacy_only,70,1.3765213853020832,1.3858470662928715,0.006774817369612949,0.20073048643462332,0.1707195442896947,-0.0031446358241482564
5,exact,101,0.6076855564286013,0.6048310505795452,0.0046973402919631415,0.0,0.0,0.2696659082343106
5,pure_geometry,101,0.6076855564286013,0.6127182900281882,0.00828180552647083,0.0,0.0,0.2696659082343106
5,adequacy_only,113,0.8141035761915532,0.8086889033617692,0.006651085916013567,0.20641801976295182,0.3396789961177964,0.06324788847135876
6,exact,72,0.5711237420019828,0.5718639690461267,0.0012960887277232525,0.0,0.0,0.5327115912477758
6,pure_geometry,73,0.5783165935354337,0.5842084305133554,0.010187909259014924,0.00719285153345095,0.012594208582955346,0.5255187397143248
6,adequacy_only,103,0.6210896779269587,0.624471208034894,0.005444511844444093,0.04996593592497589,0.08748705797070921,0.4827456553227999
7,exact,58,0.5188134832456118,0.5179349093236819,0.001693429238642182,0.0,0.0,0.2361364800518495
7,pure_geometry,117,0.5312586926293656,0.5335817098289594,0.0043726667098779575,0.012445209383753819,0.02398782951032552,0.2236912706680957
7,adequacy_only,58,0.5188134832456118,0.5163949345404977,0.004661692078594626,0.0,0.0,0.2361364800518495
8,exact,102,0.25606434450979026,0.25044407413706815,0.021948664440110014,0.0,0.0,0.1792493334627765
8,pure_geometry,105,0.260221942894606,0.2611181030716626,0.003443830167003193,0.004157598384815719,0.016236537706079357,0.17509173507796078
8,adequacy_only,21,0.423971027476963,0.42961271132802287,0.013306767409634825,0.16790668296717276,0.6557206677431542,0.011342650495603734
9,exact,108,0.34773240111512177,0.34432056885199885,0.009811660495776982,0.0,0.0,0.26564688516113083
9,pure_geometry,97,0.4138165427415206,0.41032853071976116,0.008428884932079928,0.0660841416263988,0.19004309467417357,0.19956274353473202
