seed,subset_id,selected_local,exact,pure_geometry,adequacy_only
0,0,0;1;2,0.2632689623187534,0.05404878048780489,0.1323876723305072
0,1,0;1;3,0.2146322585107942,0.04975609756097562,0.11306988829119671
0,2,0;1;4,0.257015700420242,0.052549019607843146,0.13696423112125797
0,3,0;1;5,0.2769769248160008,0.05434782608695653,0.1447882522327864
0,4,0;1;6,0.28301316790064407,0.054347826086956534,0.14451088679725935
0,5,0;1;7,0.223463369882747,0.050877192982456146,0.11125551705422466
0,6,0;1;8,0.27180974976931493,0.048682926829268294,0.13462214524729496
0,7,0;1;9,0.25995164407564064,0.04975609756097562,0.14517419327138362
0,8,0;2;3,0.1946561497378112,0.05336956521739131,0.09946741007765947
0,9,0;2;4,0.2941905626920811,0.06287500000000001,0.1230985909777452
0,10,0;2;5,0.3159117292108649,0.06589743589743592,0.1307673414874157
0,11,0;2;6,0.31971277960736405,0.06425000000000002,0.1306135394125187
0,12,0;2;7,0.22627490625138993,0.05434782608695653,0.09874165955565073
0,13,0;2;8,0.27739889537391665,0.06027586206896553,0.11502888233738931
0,14,0;2;9,0.26070848428292237,0.051902439024390255,0.13133166920467654
0,15,0;3;4,0.19252845698561374,0.04956097560975611,0.1038804505810943
0,16,0;3;5,0.21825289378122387,0.05336956521739131,0.11272944557738684
0,17,0;3;6,0.2218966269098544,0.051862745098039224,0.11286581908119026
0,18,0;3;7,0.20203892755459915,0.04975609756097562,0.099078636748934
0,19,0;3;8,0.21983502228469465,0.047745098039215686,0.11189452050204407
0,20,0;3;9,0.20836981045083874,0.04491228070175439,0.11260781925854996
0,21,0;4;5,0.3068830795854183,0.06287500000000001,0.13555198174783975
0,22,0;4;6,0.30775409764615,0.06344827586206897,0.1352270653583035
0,23,0;4;7,0.22530320112958996,0.052549019607843146,0.10200002614313487
0,24,0;4;8,0.29478563787562834,0.05762500000000001,0.12531876349214416
0,25,0;4;9,0.26388374754994987,0.051413043478260874,0.136228503591693
0,26,0;5;6,0.32282343351005083,0.06372413793103449,0.14439435287914026
0,27,0;5;7,0.24684742379808053,0.05404878048780489,0.11035550308606065
0,28,0;5;8,0.32150945315868074,0.059250000000000004,0.13357679071275447
0,29,0;5;9,0.2759724765818817,0.051902439024390255,0.1437438189051068
0,30,0;6;7,0.24761989216156743,0.0533658536585366,0.11018202604952117
0,31,0;6;8,0.32023220138351166,0.05960784313725491,0.13277937376579976
0,32,0;6;9,0.27722158041516465,0.051862745098039224,0.1432867252432147
0,33,0;7;8,0.2526943903496259,0.05043478260869566,0.10888079019767502
0,34,0;7;9,0.2214523940675264,0.04975609756097562,0.11121822712865789
