comparison,strict_win_rate,noninferiority_rate,relative_gain_mean,relative_gain_median
exact_vs_pure_geometry,0.9333333333333333,1.0,0.1303478244495301,0.11824862300876972
exact_vs_adequacy_only,0.9666666666666667,1.0,0.27187279328407093,0.27113932799684426
