strategy,instances,exact_risk_mean,empirical_mse_mean,mc_relative_error_max,relative_regret_mean,relative_regret_median,strict_optimum_rate
adequacy_only,30,0.5468421975566408,0.546239557051481,0.020590881764394227,0.5295520237558804,0.372116194662501,0.03333333333333333
exact,30,0.3588466123840819,0.35861340626236937,0.021948664440110014,0.0,0.0,1.0
pure_geometry,30,0.4211686065203459,0.4220958448035615,0.015457132027853072,0.17710319896021728,0.13422362718838476,0.06666666666666667
