seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
100,estimated_witness,0.25,0.9,0.3,0.20113355439479075
100,estimated_witness,0.25,0.75,1.0,0.20169085482710206
100,estimated_witness,1.0,0.9,1.0,0.20293088803962886
100,estimated_witness,0.5,1.0,0.1,0.20377460531828398
100,estimated_witness,0.25,0.0,0.1,0.2038988544838274
100,estimated_witness,0.5,1.0,0.03,0.20470180772957336
100,estimated_witness,4.0,0.9,1.0,0.20549938803646647
100,estimated_witness,0.25,0.0,3.0,0.20571221553168204
100,estimated_witness,1.0,0.1,3.0,0.20615564503008046
100,estimated_witness,0.5,0.1,3.0,0.20618818625868604
100,estimated_witness,2.0,0.1,3.0,0.2064925974191912
100,estimated_witness,0.25,0.1,3.0,0.20662566147890102
100,estimated_witness,4.0,0.1,3.0,0.20697434582263866
100,estimated_witness,1.0,0.25,3.0,0.20863802614521632
100,estimated_witness,0.5,0.25,3.0,0.20883072811995487
100,estimated_witness,2.0,0.25,3.0,0.20938169109380647
100,estimated_witness,0.25,0.25,3.0,0.20992103540568438
100,estimated_witness,0.5,1.0,0.3,0.21047986938084717
100,estimated_witness,4.0,0.25,3.0,0.21063927729672857
100,estimated_witness,0.5,0.9,1.0,0.21182719749785092
100,estimated_witness,1.0,0.5,3.0,0.21637424664313445
100,estimated_witness,2.0,1.0,1.0,0.21655264252445816
100,estimated_witness,2.0,0.5,3.0,0.21724514541709486
100,estimated_witness,0.5,0.5,3.0,0.2175323866659955
100,estimated_witness,1.0,1.0,1.0,0.2189174728898308
100,estimated_witness,4.0,0.5,3.0,0.21961609650043312
100,estimated_witness,0.25,0.5,3.0,0.22021277333225664
100,estimated_witness,4.0,1.0,1.0,0.22378361293457258
100,estimated_witness,0.25,0.9,1.0,0.22400857113953895
100,estimated_witness,0.25,1.0,0.03,0.2263397301122191
100,estimated_witness,0.25,1.0,0.1,0.22708466605780545
100,estimated_witness,1.0,0.75,3.0,0.22963429945708635
100,estimated_witness,2.0,0.75,3.0,0.23020344561486303
100,estimated_witness,0.5,1.0,1.0,0.2307395308611232
100,estimated_witness,0.25,1.0,0.3,0.23234509407953977
100,estimated_witness,0.5,0.75,3.0,0.2327127149578733
100,estimated_witness,4.0,0.75,3.0,0.23392876177239716
100,estimated_witness,0.25,0.0,0.03,0.23699042676811008
100,estimated_witness,0.25,0.75,3.0,0.23801184091207603
100,estimated_witness,1.0,0.9,3.0,0.24129132176630083
100,estimated_witness,2.0,0.9,3.0,0.24158399565859331
100,estimated_witness,0.5,0.9,3.0,0.2461501991755762
100,estimated_witness,4.0,0.9,3.0,0.24658536906098247
100,estimated_witness,0.25,1.0,1.0,0.24729881897810702
100,estimated_witness,0.25,0.0,10.0,0.2485889247774807
100,estimated_witness,4.0,0.1,10.0,0.24950835744178357
100,estimated_witness,2.0,0.1,10.0,0.24983500062382824
100,estimated_witness,1.0,0.1,10.0,0.25010816401004815
100,estimated_witness,0.5,0.1,10.0,0.25039294773099546
100,estimated_witness,0.25,0.1,10.0,0.2507591740653807
100,estimated_witness,1.0,1.0,3.0,0.25118739337093227
100,estimated_witness,2.0,1.0,3.0,0.25131911215293085
100,estimated_witness,4.0,0.25,10.0,0.25304877690534344
100,estimated_witness,2.0,0.25,10.0,0.25314352033284976
100,estimated_witness,1.0,0.25,10.0,0.25337740060877895
100,estimated_witness,0.5,0.25,10.0,0.2538893169483925
100,estimated_witness,0.25,0.9,3.0,0.25391999232747126
100,estimated_witness,0.25,0.25,10.0,0.25470648254755696
100,estimated_witness,4.0,1.0,3.0,0.2575863658055249
100,estimated_witness,0.5,1.0,3.0,0.2576013134097731
100,estimated_witness,2.0,0.5,10.0,0.26014258777840715
100,estimated_witness,1.0,0.5,10.0,0.2603054556414215
100,estimated_witness,4.0,0.5,10.0,0.2606288050074547
100,estimated_witness,0.5,0.5,10.0,0.26132763699050215
100,estimated_witness,0.25,0.5,10.0,0.26301532755164764
100,estimated_witness,0.25,1.0,3.0,0.26764896347082573
100,estimated_witness,2.0,0.75,10.0,0.2686103216456748
100,estimated_witness,1.0,0.75,10.0,0.26884166063850656
100,estimated_witness,4.0,0.75,10.0,0.26975347143494766
100,estimated_witness,0.5,0.75,10.0,0.27069269754891123
100,estimated_witness,0.25,0.75,10.0,0.2735955054931626
100,estimated_witness,2.0,0.9,10.0,0.2744776598268431
100,estimated_witness,1.0,0.9,10.0,0.27480741325893016
100,estimated_witness,4.0,0.9,10.0,0.27607683466289407
100,estimated_witness,0.5,0.9,10.0,0.27732897795171735
100,estimated_witness,2.0,1.0,10.0,0.2787657703625585
100,estimated_witness,1.0,1.0,10.0,0.2791806006677506
100,estimated_witness,4.0,1.0,10.0,0.2807078060578418
100,estimated_witness,0.25,0.9,10.0,0.28118290836185883
100,estimated_witness,0.5,1.0,10.0,0.28222923827426144
100,estimated_witness,0.25,1.0,10.0,0.2868303582248059
100,geometry_only,0.25,0.0,1.0,0.1818853903681051
100,geometry_only,0.25,0.0,0.3,0.18286035378067558
100,geometry_only,0.25,0.0,0.1,0.2038988544838274
100,geometry_only,0.25,0.0,3.0,0.20571221553168204
100,geometry_only,0.25,0.0,0.03,0.23699042676811008
100,geometry_only,0.25,0.0,10.0,0.2485889247774807
101,estimated_witness,4.0,0.9,0.03,0.19891797237276618
101,estimated_witness,4.0,0.9,0.1,0.19920637717468348
101,estimated_witness,4.0,0.75,0.1,0.20319039375419048
101,estimated_witness,2.0,0.75,0.1,0.20472027401032433
101,estimated_witness,2.0,0.9,0.03,0.20880090221402117
101,estimated_witness,2.0,0.9,0.1,0.2089310627262413
101,estimated_witness,2.0,0.75,0.03,0.21072459825763643
101,estimated_witness,4.0,0.75,0.3,0.21088244731508246
101,estimated_witness,4.0,0.75,0.03,0.2117833122862587
101,estimated_witness,2.0,0.75,0.3,0.2136647711178972
101,estimated_witness,1.0,0.75,0.1,0.21412441787766842
101,estimated_witness,1.0,0.5,0.1,0.21585247622380657
101,estimated_witness,2.0,0.5,0.3,0.21599694399904049
101,estimated_witness,1.0,0.5,0.3,0.21641487822595995
101,estimated_witness,2.0,0.5,0.1,0.21685375411708385
101,estimated_witness,0.5,0.5,0.1,0.21750217158341853
101,estimated_witness,4.0,0.9,0.3,0.21768070226672487
101,estimated_witness,4.0,0.5,0.3,0.21848655768137806
101,estimated_witness,1.0,0.75,0.03,0.21850800590297478
101,estimated_witness,0.5,0.5,0.3,0.21872098178033364
101,estimated_witness,0.25,0.5,0.1,0.22084634273093898
101,estimated_witness,1.0,0.75,0.3,0.22205465578156544
101,estimated_witness,4.0,1.0,0.1,0.22230526981636375
101,estimated_witness,0.25,0.5,0.3,0.22232408398636258
101,estimated_witness,4.0,0.5,0.1,0.22311670726862845
101,estimated_witness,0.5,0.75,0.1,0.22425986747350024
101,estimated_witness,2.0,0.9,0.3,0.2245303196080842
101,estimated_witness,0.5,0.5,0.03,0.22509374202572832
101,estimated_witness,1.0,0.5,0.03,0.2256102683532025
101,estimated_witness,0.5,0.25,0.3,0.22568359944169988
101,estimated_witness,0.25,0.5,0.03,0.22588851104791163
101,estimated_witness,0.5,0.75,0.03,0.22648907922193598
101,estimated_witness,0.25,0.25,0.3,0.22704596745014607
101,estimated_witness,1.0,0.25,0.3,0.22724605268959175
101,estimated_witness,1.0,0.9,0.03,0.2280469071763572
101,estimated_witness,1.0,0.9,0.1,0.2280548453237297
101,estimated_witness,2.0,0.5,0.03,0.22823190072788122
101,estimated_witness,4.0,0.5,1.0,0.23062947661458078
101,estimated_witness,2.0,0.25,0.3,0.23070496909099822
101,estimated_witness,1.0,0.25,1.0,0.23070864239179548
101,estimated_witness,2.0,0.25,1.0,0.23074330382711175
101,estimated_witness,4.0,0.25,1.0,0.23086036342654018
101,estimated_witness,0.5,0.25,1.0,0.23091980655236033
101,estimated_witness,0.5,0.75,0.3,0.2313496393012611
101,estimated_witness,2.0,0.5,1.0,0.23136251531730934
101,estimated_witness,0.25,0.25,1.0,0.23177125312818384
101,estimated_witness,0.25,0.75,0.1,0.2319846596081794
101,estimated_witness,0.5,0.25,0.1,0.23213793079780198
101,estimated_witness,0.25,0.75,0.03,0.23223586399939533
101,estimated_witness,0.5,0.1,1.0,0.2329041374255735
101,estimated_witness,4.0,1.0,0.03,0.23291198904144442
101,estimated_witness,0.25,0.1,1.0,0.23302882293816918
101,estimated_witness,1.0,0.1,1.0,0.23309728324519732
101,estimated_witness,2.0,0.1,1.0,0.23336619890656915
101,estimated_witness,4.0,0.1,1.0,0.23339291845349827
101,estimated_witness,1.0,0.5,1.0,0.23347343898794812
101,estimated_witness,0.25,0.25,0.1,0.2338021471585028
101,estimated_witness,4.0,0.25,0.3,0.2346984529187702
101,estimated_witness,1.0,0.25,0.1,0.23497745459360628
101,estimated_witness,2.0,1.0,0.1,0.2358004915248301
101,estimated_witness,0.5,0.5,1.0,0.2359588137246098
101,estimated_witness,0.25,0.0,1.0,0.23616514939986877
101,estimated_witness,4.0,0.5,0.03,0.23773068874076655
101,estimated_witness,0.25,0.5,1.0,0.23862951288729894
101,estimated_witness,0.25,0.75,0.3,0.23879421295459413
101,estimated_witness,1.0,0.9,0.3,0.23920073840446085
101,estimated_witness,4.0,0.75,1.0,0.23927731481457615
