metric,n_seeds,mean,sd,bootstrap_95ci_low,bootstrap_95ci_high,bootstrap_replicates
relative_residual_mse_improvement,30,0.15372466848644664,0.1119524761808186,0.11376321892076376,0.19227285268126698,20000
residual_cosine_gain,30,0.06547957073124121,0.06229564496120392,0.04381230517135656,0.08765130735773251,20000
full_effect_cosine_gain,30,0.013467887073745652,0.014258208974732579,0.008613639427609801,0.018596795977792353,20000
spearman_estimated_risk_vs_oracle_risk,30,0.43838176638176635,0.14434890981148307,0.38598290598290597,0.4873851851851851,20000
spearman_estimated_risk_vs_realized_mse,30,0.46764672364672355,0.1291491791377465,0.4224273504273504,0.5130495726495724,20000
oracle_efficiency_estimated,30,0.41645938401538984,0.034996585020084264,0.4040710698241458,0.4286243658832409,20000
oracle_efficiency_geometry,30,0.3749074211160602,0.053318647474506965,0.35628987027861503,0.39414743891380755,20000
