strategy,residual_mse_mean,residual_mse_std,residual_nmse_mean,residual_nmse_std,residual_cosine_mean,residual_cosine_std,full_effect_mse_mean,full_effect_mse_std,full_effect_nmse_mean,full_effect_nmse_std,full_effect_cosine_mean,full_effect_cosine_std,selected_rho_mean,selected_rho_std,selected_noise_ratio_mean,selected_noise_ratio_std
empirical_oracle,0.04688012397896826,0.005930541904613438,0.1901434421802053,0.04195130848383184,0.8343902367244027,0.0232681427233191,0.04688012398154613,0.005930541907005475,0.05700039345580525,0.008482295446794822,0.9490741081269053,0.011745751357126666,,,,
estimated_witness,0.15312850528468697,0.030152218788541737,0.6200094136605023,0.1646135949845522,0.5646266827357446,0.07517355101037847,0.15312850528342298,0.030152218782795493,0.18604840195002287,0.03704687036085673,0.9020318691520293,0.020877785467209604,0.735,0.134645127445547,0.10366666666666666,0.07284766028634963
geometry_only,0.18410020887748668,0.04232322696647977,0.7459140843115991,0.23510441176386568,0.49914711200450346,0.08482898517763837,0.18410020887079265,0.04232322696160534,0.22346244541876523,0.05033985306705857,0.8885639820782835,0.030506510477799634,0.0,0.0,0.95,0.4688577462374879
