seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
0,estimated_witness,1.0,1.0,0.1,0.21999932973592187
0,estimated_witness,0.5,0.9,0.1,0.22023108134811334
0,estimated_witness,0.25,0.5,1.0,0.2204250724759442
0,estimated_witness,1.0,1.0,0.03,0.2210208353000465
0,estimated_witness,1.0,0.75,1.0,0.22238035419013066
0,estimated_witness,0.25,0.75,0.3,0.2228401816466724
0,estimated_witness,2.0,0.9,1.0,0.23143433247518921
0,estimated_witness,1.0,1.0,0.3,0.23235599290215955
0,estimated_witness,4.0,0.9,1.0,0.23352972964638644
0,estimated_witness,0.5,0.9,0.3,0.23412400473792672
0,estimated_witness,4.0,0.1,0.03,0.23421436932924444
0,estimated_witness,0.25,0.0,3.0,0.23737126375049553
0,estimated_witness,2.0,0.1,3.0,0.24025107504501897
0,estimated_witness,4.0,0.1,3.0,0.2403174906908897
0,estimated_witness,0.5,0.75,1.0,0.24032730056676713
0,estimated_witness,1.0,0.1,3.0,0.24050820778708495
0,estimated_witness,0.5,0.1,3.0,0.24132387950298437
0,estimated_witness,0.25,0.1,3.0,0.24231535385296657
0,estimated_witness,0.25,0.0,0.1,0.2432003424462943
0,estimated_witness,1.0,0.9,1.0,0.24520547424043995
0,estimated_witness,2.0,0.25,3.0,0.2459445556620179
0,estimated_witness,4.0,0.25,3.0,0.24644780648098763
0,estimated_witness,1.0,0.25,3.0,0.2468662645185896
0,estimated_witness,0.25,0.9,0.03,0.2487201185492589
0,estimated_witness,0.5,0.25,3.0,0.24923247993365982
0,estimated_witness,0.25,0.25,3.0,0.25187566625589125
0,estimated_witness,2.0,1.0,1.0,0.25210777813366075
0,estimated_witness,0.25,0.9,0.1,0.25245741180273645
0,estimated_witness,4.0,1.0,1.0,0.25657701905606345
0,estimated_witness,0.25,0.75,1.0,0.25725181181559453
0,estimated_witness,2.0,0.5,3.0,0.25885505136920545
0,estimated_witness,0.5,1.0,0.03,0.25996468303011905
0,estimated_witness,4.0,0.5,3.0,0.26020736734229016
0,estimated_witness,0.5,1.0,0.1,0.26052486973987304
0,estimated_witness,1.0,0.5,3.0,0.2615218337861869
0,estimated_witness,0.25,0.9,0.3,0.2644006308371173
0,estimated_witness,0.5,0.5,3.0,0.2673862280343504
0,estimated_witness,1.0,1.0,1.0,0.2677909229479393
0,estimated_witness,0.5,0.9,1.0,0.2695177408766542
0,estimated_witness,0.5,1.0,0.3,0.2705809959609305
0,estimated_witness,0.25,0.5,3.0,0.27359452224613895
0,estimated_witness,2.0,0.75,3.0,0.2777793370693365
0,estimated_witness,4.0,0.75,3.0,0.2805287698431186
0,estimated_witness,1.0,0.75,3.0,0.28272510811394835
0,estimated_witness,0.5,0.75,3.0,0.2933183863242055
0,estimated_witness,2.0,0.9,3.0,0.2933841855105988
0,estimated_witness,0.25,0.9,1.0,0.2935562819491206
0,estimated_witness,0.5,1.0,1.0,0.2971888953537625
0,estimated_witness,4.0,0.9,3.0,0.29762169169028424
0,estimated_witness,1.0,0.9,3.0,0.2998547850626799
0,estimated_witness,0.25,1.0,0.03,0.30139131800401386
0,estimated_witness,0.25,1.0,0.1,0.3030888833522824
0,estimated_witness,0.25,0.0,0.03,0.3035367809221372
0,estimated_witness,0.25,0.75,3.0,0.3045683045839012
0,estimated_witness,2.0,1.0,3.0,0.30629955463931335
0,estimated_witness,0.25,0.0,10.0,0.30671605854180445
0,estimated_witness,4.0,0.1,10.0,0.3081522884396699
0,estimated_witness,2.0,0.1,10.0,0.3090151186450092
0,estimated_witness,1.0,0.1,10.0,0.30976258823751346
0,estimated_witness,0.25,1.0,0.3,0.3103699617831315
0,estimated_witness,0.5,0.1,10.0,0.31047181995738743
0,estimated_witness,0.25,0.1,10.0,0.3111378531924738
0,estimated_witness,4.0,1.0,3.0,0.3120465097970519
0,estimated_witness,4.0,0.25,10.0,0.3129876855812029
0,estimated_witness,1.0,1.0,3.0,0.3137929207991346
